timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,card,cardDescription,substitution_name,substitution_id,substitution_profileUrl
29,Goal,,14205890.0,0,0,/players/737066/erling-haaland,False,,,False,Erling Haaland,737066.0,"[0, 1]",,assist by David Møller Wolfe,/players/1049679/david-moller-wolfe,1049679.0,assist_by,David Møller Wolfe,2944796105.0,Goal,8492.0,737066.0,Erling Haaland,102.72413793119999,31.4075,29.0,,False,True,,,32.39875,1.3419999934,0.8745530843734741,0.9951707720756531,LeftFoot,RegularPlay,FirstHalf,False,1.4236111111111112,0.35502645328042326,1.0,False,True,578761.0,Erling,Haaland,Erling Haaland,#b53032,,,,,,,,,,,
39,Goal,,14205892.0,0,1,/players/674332/ayman-hussein,True,,Header,False,Ayman Hussein,674332.0,"[1, 1]",,assist by Amir Al-Ammari,/players/858340/amir-al-ammari,858340.0,assist_by,Amir Al-Ammari,2944796427.0,Goal,5819.0,674332.0,Ayman Hussein,97.1842105256,32.0175,39.0,,False,True,,,31.178749999999994,0.8154736802,0.08086434751749039,0.598709762096405,Header,RegularPlay,FirstHalf,False,1.7463624338624355,0.2157337778306878,1.0,False,True,73409.0,Ayman,Hussein,Ayman Hussein,#309060,,,,,,,,,,,
43,Goal,,14205894.0,1,1,/players/737066/erling-haaland,False,,,False,Erling Haaland,737066.0,"[1, 2]",,,,,,,2944796605.0,Goal,8492.0,737066.0,Erling Haaland,101.3965517244,35.220000000000006,43.0,,False,True,,,34.61,0.2439999988,0.3733566105365753,0.42296120524406433,RightFoot,RegularPlay,FirstHalf,False,0.8386243386243388,0.06455026423280423,1.0,False,True,578761.0,Erling,Haaland,Erling Haaland,#b53032,,,,,,,,,,,
45,AddedTime,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 5 minutes added,added_injury_time,5.0,,,,,,,,
45,Half,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,,,
59,Substitution,0.0,,1,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Zidane Iqbal,1138592,/players/1138592/zidane-iqbal
59,Substitution,0.0,,1,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Marko Lawk Farji,1162514,/players/1162514/marko-lawk-farji
73,Substitution,0.0,,1,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Andreas Schjelderup,1228558,/players/1228558/andreas-schjelderup
73,Substitution,0.0,,1,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Kristian Thorstvedt,921921,/players/921921/kristian-thorstvedt
73,Substitution,0.0,,1,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Leo Østigard,740944,/players/740944/leo-ostigard
73,Substitution,0.0,,1,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Oscar Bobb,1113790,/players/1113790/oscar-bobb
73,Substitution,0.0,,1,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,Ahmed Qasem,1224691,/players/1224691/ahmed-qasem
