timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,VAR.pendingDecision,VAR.decision.key,VAR.decision.value,card,cardDescription,injuredPlayerOut,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,substitution_name,substitution_id,substitution_profileUrl
4,Goal,,14214858.0,0,0,/players/1285866/habib-diarra,True,,,False,Habib Diarra,1285866.0,"[1, 0]",,assist by Abdoulaye Seck,/players/588626/abdoulaye-seck,588626.0,assist_by,Abdoulaye Seck,2945481419.0,Goal,6395.0,1285866.0,Habib Diarra,101.3017241382,34.4575,4.0,,False,True,,,31.78875,1.5859999922,0.5136197805404663,0.9740017056465149,RightFoot,FromCorner,FirstHalf,False,1.5849867724867723,0.4195767175132275,1.0,False,True,1132570.0,Habib,Diarra,Habib Diarra,#0c954e,,,,,,,,,,,,,,
10,VAR,,14214868.0,1,0,/players/502481/rebin-sulaka,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,['var_yellow_card_removed'],['Yellow card cancelled'],,,,,,,,,,,
13,Card,,14214884.0,1,0,/players/502481/rebin-sulaka,False,,,,Rebin Sulaka,502481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,
16,Substitution,0.0,,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Manaf Younis,1333336,/players/1333336/manaf-younis
18,Card,,14214896.0,1,0,/players/588626/abdoulaye-seck,True,,,,Abdoulaye Seck,588626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
45,AddedTime,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 9 minutes added,added_injury_time,9.0,,,,,
45,Half,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,
46,Substitution,0.0,,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,Jalal Hassan,578761,/players/578761/jalal-hassan
56,Substitution,0.0,,1,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Iliman Ndiaye,965764,/players/965764/iliman-ndiaye
56,Substitution,0.0,,1,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Pape Gueye,844544,/players/844544/pape-gueye
56,Substitution,0.0,,1,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Nicolas Jackson,1197347,/players/1197347/nicolas-jackson
56,Goal,,14215020.0,1,0,/players/771294/ismaila-sarr,True,,,False,Ismaïla Sarr,771294.0,"[2, 0]",,assist by Lamine Camara,/players/1436305/lamine-camara,1436305.0,assist_by,Lamine Camara,2945493715.0,Goal,6395.0,771294.0,Ismaïla Sarr,101.77586206919999,33.61875,56.0,,False,True,,,35.3725,1.7914736754,0.4099680185317993,0.9559850096702576,RightFoot,RegularPlay,SecondHalf,False,0.6369047619047613,0.47393483476190473,1.0,False,True,578761.0,Ismaïla,Sarr,Ismaïla Sarr,#0c954e,,,,,,,,,,,,,,
57,Substitution,0.0,,2,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Ahmed Maknzi,1642810,/players/1642810/ahmed-maknzi
57,Substitution,0.0,,2,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Ali Yousif,1132572,/players/1132572/ali-yousif
58,Substitution,0.0,,2,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Pathé Ciss,872396,/players/872396/pathe-ciss
59,Goal,,14215040.0,2,0,/players/844544/pape-gueye,True,,,False,Pape Gueye,844544.0,"[3, 0]",,assist by Ismaïla Sarr,/players/771294/ismaila-sarr,771294.0,assist_by,Ismaïla Sarr,2945494193.0,Goal,6395.0,844544.0,Pape Gueye,83.38592233039999,21.3368152901,59.0,,False,True,,,36.8975,1.5859999922,0.03647078573703766,0.6492807865142822,LeftFoot,RegularPlay,SecondHalf,False,0.23346560846560827,0.4195767175132275,1.0,False,False,578761.0,Pape,Gueye,Pape Gueye,#0c954e,,,,,,,,,,,,,,
67,Substitution,0.0,,3,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Kevin Yakob,941579,/players/941579/kevin-yakob
71,Goal,,14215088.0,3,0,/players/844544/pape-gueye,True,,,False,Pape Gueye,844544.0,"[4, 0]",,assist by Iliman Ndiaye,/players/965764/iliman-ndiaye,965764.0,assist_by,Iliman Ndiaye,2945496025.0,Goal,6395.0,844544.0,Pape Gueye,90.2,34.305,71.0,,False,True,,,36.97375,1.1814736784,0.13738591969013214,0.7065879106521606,LeftFoot,RegularPlay,SecondHalf,False,0.21329365079365015,0.31255917417989415,1.0,False,True,578761.0,Pape,Gueye,Pape Gueye,#0c954e,,,,,,,,,,,,,,
75,Card,,14215096.0,4,0,/players/858340/amir-al-ammari,False,,,,Amir Al-Ammari,858340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
81,Substitution,0.0,,4,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Assane Diao,1434889,/players/1434889/assane-diao
81,Card,,14215108.0,4,0,/players/844544/pape-gueye,True,,,,Pape Gueye,844544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
82,Goal,,14215109.0,4,0,/players/965764/iliman-ndiaye,True,,,False,Iliman Ndiaye,965764.0,"[5, 0]",,assist by Pape Gueye,/players/844544/pape-gueye,844544.0,assist_by,Pape Gueye,2945497389.0,Goal,6395.0,965764.0,Iliman Ndiaye,85.06470588159999,22.247643316,82.0,,False,True,,,31.7125,1.5859999922,0.037147391587495804,0.18463240563869476,RightFoot,RegularPlay,SecondHalf,False,1.6051587301587305,0.4195767175132275,1.0,False,False,578761.0,Iliman,Ndiaye,Iliman Ndiaye,#0c954e,,,,,,,,,,,,,,
90,Card,,14215130.0,5,0,/players/1199113/merchas-doski,False,,,,Merchas Doski,1199113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
90,AddedTime,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 6 minutes added,added_injury_time,6.0,,,,,
90,Half,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,fulltime_short,,,
