timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,card,cardDescription,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
7,Goal,,14214291.0,0,0,/players/575735/nicolas-pepe,False,,,False,Nicolas Pépé,575735.0,"[0, 1]",,assist by Yan Diomande,/players/1735453/yan-diomande,1735453.0,assist_by,Yan Diomande,2945428737.0,Goal,6709.0,575735.0,Nicolas Pépé,100.732758621,36.05875,7.0,,False,True,,,33.5425,0.1219999994,0.42798513174057007,0.9812400937080383,LeftFoot,RegularPlay,FirstHalf,False,1.121031746031747,0.032275132116402115,1.0,False,True,150242.0,Nicolas,Pépé,Nicolas Pépé,#FD8B06,,,,,,,,,,,
34,Card,,14214305.0,0,1,/players/575735/nicolas-pepe,False,,,,Nicolas Pépé,575735.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
45,AddedTime,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 4 minutes added,added_injury_time,4.0,,,,,,
45,Half,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,
46,Substitution,0.0,,0,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Christ Inao Oulaï,1666494,/players/1666494/christ-inao-oulai
61,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Jeremy Antonisse,1210947,/players/1210947/jeremy-antonisse
64,Goal,,14214334.0,0,1,/players/575735/nicolas-pepe,False,,,False,Nicolas Pépé,575735.0,"[0, 2]",,assist by Ibrahim Sangaré,/players/795371/ibrahim-sangare,795371.0,assist_by,Ibrahim Sangaré,2945435407.0,Goal,6709.0,575735.0,Nicolas Pépé,94.5789473669,22.878216564699997,64.0,,False,True,,,36.51625,1.4254736772,0.1299302726984024,0.5732434391975403,LeftFoot,RegularPlay,SecondHalf,False,0.33432539682539697,0.3771094384126984,1.0,False,True,150242.0,Nicolas,Pépé,Nicolas Pépé,#FD8B06,,,,,,,,,,,
67,Substitution,0.0,,0,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Elye Wahi,1213430,/players/1213430/elye-wahi
67,Substitution,0.0,,0,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Bazoumana Touré,1624586,/players/1624586/bazoumana-toure
67,Substitution,0.0,,0,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Oumar Diakité,1328540,/players/1328540/oumar-diakite
75,Card,,14214352.0,0,2,/players/614574/juninho-bacuna,True,,,,Juninho Bacuna,614574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
77,Substitution,0.0,,0,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tyrese Noslin,1439121,/players/1439121/tyrese-noslin
77,Substitution,0.0,,0,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Gervane Kastaneer,380942,/players/380942/gervane-kastaneer
77,Substitution,0.0,,0,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Jean Michaël Seri,470539,/players/470539/jean-michael-seri
83,Card,,14214365.0,0,2,/players/380942/gervane-kastaneer,True,,,,Gervane Kastaneer,380942.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
90,Substitution,0.0,,0,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Shurandy Sambo,1125997,/players/1125997/shurandy-sambo
90,Substitution,0.0,,0,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Brandley Kuwas,352358,/players/352358/brandley-kuwas
90,AddedTime,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 6 minutes added,added_injury_time,6.0,,,,,,
90,Half,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,fulltime_short,,,,
