timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,assistPlayerId,assistKey,assistInput,substitution_name,substitution_id,substitution_profileUrl
30,Goal,,14209636.0,0,0,/players/579747/franck-kessie,False,,,False,Franck Kessié,579747.0,"[0, 1]",,,,2945043407.0,Goal,6709.0,579747.0,Franck Kessié,98.4385964909,30.304,30.0,,False,True,,,36.821250000000006,0.28252631440000003,0.304764062166214,0.964232325553894,RightFoot,RegularPlay,FirstHalf,False,0.2536375661375645,0.07474241121693122,1.0,False,True,27299.0,Franck,Kessié,Franck Kessié,#FD8B06,,,,,,,,,,,,
45,AddedTime,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 7 minutes added,added_injury_time,7.0,,,,,,,,,
45,Half,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,,,,
46,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,Antonio Rüdiger,276738,/players/276738/antonio-rudiger
60,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Jamie Leweling,1074968,/players/1074968/jamie-leweling
60,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Nadiem Amiri,614449,/players/614449/nadiem-amiri
60,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Deniz Undav,661519,/players/661519/deniz-undav
68,Goal,,14209816.0,0,1,/players/661519/deniz-undav,True,,,False,Deniz Undav,661519.0,"[1, 1]",,assist by Nadiem Amiri,/players/614449/nadiem-amiri,2945050735.0,Goal,8570.0,661519.0,Deniz Undav,100.1637931038,35.60125,68.0,,False,True,,,34.4575,1.9134736748,0.626470148563385,0.8111054301261902,LeftFoot,RegularPlay,SecondHalf,False,0.8789682539682532,0.5062099668783069,1.0,False,True,873566.0,Deniz,Undav,Deniz Undav,#464646,,,,,,,614449.0,assist_by,Nadiem Amiri,,,
75,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Seko Fofana,602211,/players/602211/seko-fofana
75,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Simon Adingra,1227012,/players/1227012/simon-adingra
75,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Evann Guessand,1087966,/players/1087966/evann-guessand
82,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,Guéla Doué,1395704,/players/1395704/guela-doue
85,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Nicolas Pépé,575735,/players/575735/nicolas-pepe
85,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Leon Goretzka,343748,/players/343748/leon-goretzka
90,AddedTime,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 6 minutes added,added_injury_time,6.0,,,,,,,,,
90 + 4,Goal,4.0,14209853.0,1,1,/players/661519/deniz-undav,True,,,False,Deniz Undav,661519.0,"[2, 1]",,assist by Felix Nmecha,/players/966019/felix-nmecha,2945053261.0,Goal,8570.0,661519.0,Deniz Undav,92.3,37.708,90.0,4.0,False,True,,,35.83,0.4879999976,0.3477025628089905,0.31055381894111633,LeftFoot,RegularPlay,SecondHalf,False,0.5158730158730164,0.12910052846560846,1.0,False,True,873566.0,Deniz,Undav,Deniz Undav,#464646,,,,,,,966019.0,assist_by,Felix Nmecha,,,
90,Half,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,fulltime_short,,,,,,,
