timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,minutesAddedStr,minutesAddedKey,minutesAddedInput,card,cardDescription,halfStrShort,halfStrKey,injuredPlayerOut,shortName,shotmapEvent.shortName,substitution_name,substitution_id,substitution_profileUrl
39,Goal,,14219239.0,0,0,/players/1248482/antonio-nusa,False,,,False,Antonio Nusa,1248482.0,"[0, 1]",,assist by Martin Ødegaard,/players/534670/martin-odegaard,534670.0,assist_by,Martin Ødegaard,2945845103.0,Goal,8492.0,1248482.0,Antonio Nusa,93.0,48.2746496788,39.0,,False,True,,,30.95,1.6694736760000002,0.021823201328516006,0.8022546172142029,RightFoot,RegularPlay,FirstHalf,False,1.806878306878306,0.44165970264550264,1.0,False,True,873566.0,Antonio,Nusa,Antonio Nusa,#b53032,,,,,,,,,,,,,
45,AddedTime,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 4 minutes added,added_injury_time,4.0,,,,,,,,,,
45 + 1,Card,1.0,14219242.0,0,1,/players/1248482/antonio-nusa,False,,,,Antonio Nusa,1248482.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,
45,Half,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,,,
60,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Elye Wahi,1213430,/players/1213430/elye-wahi
60,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Amad Diallo,1070052,/players/1070052/amad-diallo
71,Substitution,0.0,,0,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Oscar Bobb,1113790,/players/1113790/oscar-bobb
71,Substitution,0.0,,0,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Andreas Schjelderup,1228558,/players/1228558/andreas-schjelderup
74,Goal,,14219252.0,0,1,/players/1070052/amad-diallo,True,,,False,Amad Diallo,1070052.0,"[1, 1]",,assist by Nicolas Pépé,/players/575735/nicolas-pepe,575735.0,assist_by,Nicolas Pépé,2945848625.0,Goal,6709.0,1070052.0,Amad Diallo,101.0172413796,27.782619046999997,74.0,,False,True,,,35.448750000000004,1.0594736790000001,0.19829346239566803,0.3718818128108978,LeftFoot,RegularPlay,SecondHalf,False,0.6167328042328032,0.28028404206349206,1.0,False,True,73409.0,Amad,Diallo,Amad Diallo,#FD8B06,,,,,,,,,Amad,Amad,,,
83,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Fredrik Aursnes,310768,/players/310768/fredrik-aursnes
86,Goal,,14219258.0,1,1,/players/737066/erling-haaland,False,,,False,Erling Haaland,737066.0,"[1, 2]",,assist by Patrick Berg,/players/530635/patrick-berg,530635.0,assist_by,Patrick Berg,2945849495.0,Goal,8492.0,737066.0,Erling Haaland,98.6315789471,34.838750000000005,86.0,,False,True,,,33.31375,0.2439999988,0.8023732900619507,0.9649618268013,LeftFoot,RegularPlay,SecondHalf,False,1.1815476190476193,0.06455026423280423,1.0,False,True,873566.0,Erling,Haaland,Erling Haaland,#b53032,,,,,,,,,,,,,
87,Substitution,0.0,,1,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Oumar Diakité,1328540,/players/1328540/oumar-diakite
90,AddedTime,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 7 minutes added,added_injury_time,7.0,,,,,,,,,,
90 + 3,Substitution,3.0,,1,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Evann Guessand,1087966,/players/1087966/evann-guessand
90 + 3,Substitution,3.0,,1,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Bazoumana Touré,1624586,/players/1624586/bazoumana-toure
90,Half,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,fulltime_short,,,,,,
