timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,fullName,playerId,card,cardDescription,ownGoal,goalDescription,isPenaltyShootoutEvent,newScore,penShootoutScore,assistStr,assistProfileUrl,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,assistPlayerId,assistKey,assistInput,substitution_name,substitution_id,substitution_profileUrl
12,Card,,14218967.0,0,0,/players/1033111/kaishu-sano,False,Kaishu Sano,1033111.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Card,,14218968.0,0,0,/players/208494/casemiro,True,Casemiro,208494.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Goal,,14218970.0,0,0,/players/1033111/kaishu-sano,False,Kaishu Sano,1033111.0,,,,,False,"[0, 1]",,,,2945807933.0,Goal,6715.0,1033111.0,Kaishu Sano,82.4849514568,29.883809522,29.0,,False,True,,,37.2025,0.1219999994,0.1222444400191307,0.6556447744369507,RightFoot,FastBreak,FirstHalf,False,0.15277777777777768,0.032275132116402115,1.0,False,False,319784.0,Kaishu,Sano,Kaishu Sano,#435D99,,,,,,,,,,,,
45,Card,,14218972.0,0,1,/players/621515/daichi-kamada,False,Daichi Kamada,621515.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,AddedTime,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 4 minutes added,added_injury_time,4.0,,,,,,,,,
45,Half,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,,,,
46,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,Endrick,1406729,/players/1406729/endrick
48,Card,,14218982.0,0,1,/players/208077/danilo,True,Danilo,208077.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Goal,,14218988.0,0,1,/players/208494/casemiro,True,Casemiro,208494.0,,,,Header,False,"[1, 1]",,assist by Gabriel,/players/795179/gabriel,2945809223.0,Goal,8256.0,208494.0,Casemiro,101.8706896554,29.127380951,56.0,,False,True,,,31.78875,1.4254736772,0.29296064376831055,0.5468215346336365,Header,RegularPlay,SecondHalf,False,1.5849867724867723,0.3771094384126984,1.0,False,True,1053679.0,,Casemiro,Casemiro,#2b9217,,,,,,,795179.0,assist_by,Gabriel,,,
65,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Gabriel Martinelli,1021586,/players/1021586/gabriel-martinelli
66,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Junnosuke Suzuki,1337765,/players/1337765/junnosuke-suzuki
66,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Yukinari Sugawara,924610,/players/924610/yukinari-sugawara
78,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Ao Tanaka,935728,/players/935728/ao-tanaka
78,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Shuto Machino,915111,/players/915111/shuto-machino
84,Card,,14219008.0,1,1,/players/1337765/junnosuke-suzuki,False,Junnosuke Suzuki,1337765.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,AddedTime,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 6 minutes added,added_injury_time,6.0,,,,,,,,,
90 + 1,Substitution,1.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,Fabinho,359188,/players/359188/fabinho
90 + 5,Goal,5.0,14219011.0,1,1,/players/1021586/gabriel-martinelli,True,Gabriel Martinelli,1021586.0,,,,,False,"[2, 1]",,assist by Bruno Guimarães,/players/850354/bruno-guimaraes,2945810465.0,Goal,8256.0,1021586.0,Gabriel Martinelli,95.2543859636,37.78,90.0,5.0,False,True,,,31.178749999999994,0.40452631380000004,0.4330262243747711,0.4311457574367523,RightFoot,RegularPlay,SecondHalf,False,1.7463624338624355,0.10701754333333334,1.0,False,True,1053679.0,Gabriel,Martinelli,Gabriel Martinelli,#2b9217,,,,,,,850354.0,assist_by,Bruno Guimarães,,,
90 + 7,Substitution,7.0,,2,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Koki Ogawa,727837,/players/727837/koki-ogawa
90 + 7,Substitution,7.0,,2,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Danilo,1181700,/players/1181700/danilo
90,Half,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,fulltime_short,,,,,,,
