timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
4,Goal,,14210264.0,0,0,/players/621515/daichi-kamada,False,,,False,Daichi Kamada,621515.0,"[0, 1]",,assist by Keito Nakamura,/players/887704/keito-nakamura,887704.0,assist_by,Keito Nakamura,2945122407.0,Goal,6715.0,621515.0,Daichi Kamada,101.681034483,35.9825,4.0,,False,True,,,34.4575,0.0834736838,0.7252558469772339,0.9836845397949219,LeftFoot,RegularPlay,FirstHalf,False,0.8789682539682532,0.02208298513227513,1.0,False,True,982855.0,Daichi,Kamada,Daichi Kamada,#435D99,,,,,,,,,
31,Goal,,14210290.0,0,1,/players/942393/ayase-ueda,False,,,False,Ayase Ueda,942393.0,"[0, 2]",,assist by Ko Itakura,/players/620917/ko-itakura,620917.0,assist_by,Ko Itakura,2945125289.0,Goal,6715.0,942393.0,Ayase Ueda,88.6,17.9737579637,31.0,,False,True,,,36.66875,0.2439999988,0.029596248641610146,0.09229567646980286,RightFoot,FastBreak,FirstHalf,False,0.29398148148148073,0.06455026423280423,1.0,False,True,982855.0,Ayase,Ueda,Ayase Ueda,#435D99,,,,,,,,,
45,AddedTime,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 4 minutes added,added_injury_time,4.0,,,,,,
45,Half,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,
46,Substitution,0.0,,0,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Amine Ben Hamida,1131928,/players/1131928/amine-ben-hamida
46,Substitution,0.0,,0,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Ismaël Gharbi,1244924,/players/1244924/ismael-gharbi
64,Substitution,0.0,,0,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Firas Chaouat,845336,/players/845336/firas-chaouat
69,Goal,,14210384.0,0,2,/players/604044/junya-ito,False,,,False,Junya Ito,604044.0,"[0, 3]",,assist by Ayase Ueda,/players/942393/ayase-ueda,942393.0,assist_by,Ayase Ueda,2945128817.0,Goal,6715.0,604044.0,Junya Ito,94.675438595,30.256,69.0,,False,True,,,32.3225,0.20547368320000003,0.5893735289573669,0.5937829613685608,RightFoot,RegularPlay,SecondHalf,False,1.4437830687830693,0.05435811724867726,1.0,False,True,982855.0,Junya,Ito,Junya Ito,#435D99,,,,,,,,,
74,Substitution,0.0,,0,3,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Yukinari Sugawara,924610,/players/924610/yukinari-sugawara
74,Substitution,0.0,,0,3,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Junnosuke Suzuki,1337765,/players/1337765/junnosuke-suzuki
78,Substitution,0.0,,0,3,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Yuito Suzuki,1134467,/players/1134467/yuito-suzuki
78,Substitution,0.0,,0,3,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Ayumu Seko,857120,/players/857120/ayumu-seko
83,Goal,,14210404.0,0,3,/players/942393/ayase-ueda,False,,Header,False,Ayase Ueda,942393.0,"[0, 4]",,assist by Kaishu Sano,/players/1033111/kaishu-sano,1033111.0,assist_by,Kaishu Sano,2945129273.0,Goal,6715.0,942393.0,Ayase Ueda,99.50000000040001,36.2875,83.0,,False,True,,,30.797499999999996,1.1814736784,0.28384456038475037,0.8953871130943298,Header,RegularPlay,SecondHalf,False,1.8472222222222223,0.31255917417989415,1.0,False,True,982855.0,Ayase,Ueda,Ayase Ueda,#435D99,,,,,,,,,
84,Substitution,0.0,,0,4,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Keisuke Goto,1436730,/players/1436730/keisuke-goto
90,Substitution,0.0,,0,4,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Elias Achouri,1015128,/players/1015128/elias-achouri
90,Substitution,0.0,,0,4,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Rani Khedira,304348,/players/304348/rani-khedira
90,AddedTime,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 6 minutes added,added_injury_time,6.0,,,,,,
90,Half,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,fulltime_short,,,,
