timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,card,cardDescription,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
36,Goal,,14212905.0,0,0,/players/1195369/nizar-al-rashdan,True,,,False,Nizar Al Rashdan,1195369.0,"[1, 0]",,assist by Mousa Tamari,/players/813055/mousa-tamari,813055.0,assist_by,Mousa Tamari,2945261787.0,Goal,5816.0,1195369.0,Nizar Al Rashdan,91.3,30.244,36.0,,False,True,,,31.178749999999994,0.0385263156,0.14068183302879333,0.28997451066970825,RightFoot,RegularPlay,FirstHalf,False,1.7463624338624355,0.010192146984126984,1.0,False,True,770880.0,Nizar,Al Rashdan,Nizar Al Rashdan,#e2001d,,,,,,,,,,,
44,Card,,14212907.0,1,0,/players/1074967/ramiz-zerrouki,False,,,,Ramiz Zerrouki,1074967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
45,AddedTime,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 5 minutes added,added_injury_time,5.0,,,,,,
45,Half,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,
46,Substitution,0.0,,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Nabil Bentaleb,500520,/players/500520/nabil-bentaleb
46,Substitution,0.0,,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Nadir Benbouali,1210929,/players/1210929/nadir-benbouali
64,Card,,14212912.0,1,0,/players/1554109/husam-abu-dahab,True,,,,Husam Abu Dahab,1554109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
69,Goal,,14212914.0,1,0,/players/1210929/nadir-benbouali,False,,Header,False,Nadir Benbouali,1210929.0,"[1, 1]",,assist by Riyad Mahrez,/players/278343/riyad-mahrez,278343.0,assist_by,Riyad Mahrez,2945263219.0,Goal,6317.0,1210929.0,Nadir Benbouali,97.1842105256,34.22875,69.0,,False,True,,,37.05,0.6099999970000001,0.08191907405853271,0.7188198566436768,Header,FromCorner,SecondHalf,False,0.19312169312169392,0.16137566058201058,1.0,False,True,734654.0,Nadir,Benbouali,Nadir Benbouali,#00977B,,,,,,,,,,,
76,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Anis Hadj Moussa,1576876,/players/1576876/anis-hadj-moussa
76,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Odeh Fakhouri,1823348,/players/1823348/odeh-fakhouri
