timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,fullName,playerId,card,cardDescription,ownGoal,goalDescription,isPenaltyShootoutEvent,shortName,newScore,penShootoutScore,assistStr,assistProfileUrl,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.shortName,shotmapEvent.teamColor,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,assistPlayerId,assistKey,assistInput,substitution_name,substitution_id,substitution_profileUrl
17,Card,,14217482.0,0,0,/players/1247001/mohannad-abu-taha,True,Mohannad Abu Taha,1247001.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Goal,,14217483.0,0,0,/players/604126/giovani-lo-celso,False,Giovani Lo Celso,604126.0,,,,Direct freekick,False,Lo Celso,"[0, 1]",,,,2945663041.0,Goal,6706.0,604126.0,Giovani Lo Celso,86.4602941172,25.53375,19.0,,False,True,,,36.821250000000006,1.7079999916000002,0.10054817795753479,0.6985152363777161,LeftFoot,FreeKick,FirstHalf,False,0.2536375661375645,0.45185184962962965,1.0,False,False,734654.0,Giovani,Lo Celso,Giovani Lo Celso,Lo Celso,#63addf,,,,,,,,,,,,
31,Goal,,14217486.0,0,1,/players/690230/lautaro-martinez,False,Lautaro Martínez,690230.0,,,,Penalty,False,,"[0, 2]",,,,2945664081.0,Goal,6706.0,690230.0,Lautaro Martínez,94.0,34.0,31.0,,False,True,,,36.21125,0.8154736802,0.7884,0.5977808237075806,RightFoot,Penalty,FirstHalf,False,0.41501322751322767,0.2157337778306878,1.0,False,True,734654.0,Lautaro,Martínez,Lautaro Martínez,,#63addf,,,,,,,,,,,,
45,AddedTime,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 5 minutes added,added_injury_time,5.0,,,,,,,,,
45,Half,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,,,,
46,Substitution,0.0,,0,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Mousa Tamari,813055,/players/813055/mousa-tamari
46,Substitution,0.0,,0,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Mahmoud Al Mardi,674520,/players/674520/mahmoud-al-mardi
55,Goal,,14217500.0,0,2,/players/813055/mousa-tamari,True,Mousa Tamari,813055.0,,,,,False,,"[1, 2]",,assist by Ehsan Haddad,/players/546201/ehsan-haddad,2945667417.0,Goal,5816.0,813055.0,Mousa Tamari,97.1842105256,36.2875,55.0,,False,True,,,35.9825,1.5025263084,0.5218044519424438,0.720255970954895,LeftFoot,RegularPlay,SecondHalf,False,0.47552910052910013,0.39749373238095237,1.0,False,True,268375.0,Mousa,Tamari,Mousa Tamari,,#e2001d,,,,,,,546201.0,assist_by,Ehsan Haddad,,,
60,Substitution,0.0,,1,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Thiago Almada,955271,/players/955271/thiago-almada
60,Substitution,0.0,,1,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Lionel Messi,30981,/players/30981/lionel-messi
60,Substitution,0.0,,1,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Alexis Mac Allister,831489,/players/831489/alexis-mac-allister
64,Card,,14217514.0,1,2,/players/852168/yazan-abu-al-arab,True,Yazan Abu Al-Arab,852168.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Substitution,0.0,,1,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Valentín Barco,1272440,/players/1272440/valentin-barco
76,Substitution,0.0,,1,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Amer Jamous,1213678,/players/1213678/amer-jamous
80,Goal,,14217526.0,1,2,/players/30981/lionel-messi,False,Lionel Messi,30981.0,,,,Direct freekick,False,,"[1, 3]",,,,2945669731.0,Goal,6706.0,30981.0,Lionel Messi,80.345145632,32.779999999999994,80.0,,False,True,,,35.3725,0.40452631380000004,0.0830073282122612,0.1007034033536911,LeftFoot,FreeKick,SecondHalf,False,0.6369047619047613,0.10701754333333334,1.0,False,False,734654.0,Lionel,Messi,Lionel Messi,,#63addf,,,,,,,,,,,,
82,Substitution,0.0,,1,3,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,José López,1216079,/players/1216079/jose-lopez
90,Substitution,0.0,,1,3,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Mohammad Abuzraiq,1059129,/players/1059129/mohammad-abuzraiq
90,Substitution,0.0,,1,3,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,Saleem Obaid,847766,/players/847766/saleem-obaid
90,AddedTime,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 5 minutes added,added_injury_time,5.0,,,,,,,,,
90 + 4,Card,4.0,14217536.0,1,3,/players/1059129/mohammad-abuzraiq,True,Mohammad Abuzraiq,1059129.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Half,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,fulltime_short,,,,,,,
