timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,VAR.pendingDecision,VAR.decision.key,VAR.decision.value,card,cardDescription,substitution_name,substitution_id,substitution_profileUrl
20,Goal,,14205975.0,0,0,/players/749488/romano-schmid,True,,,False,Romano Schmid,749488.0,"[1, 0]",,assist by Xaver Schlager,/players/620027/xaver-schlager,620027.0,assist_by,Xaver Schlager,2944807675.0,Goal,8255.0,749488.0,Romano Schmid,82.8228155344,36.5925,21.0,,False,True,,,31.178749999999994,1.5025263084,0.04819732531905174,0.418934166431427,RightFoot,RegularPlay,FirstHalf,False,1.7463624338624355,0.39749373238095237,1.0,False,False,734654.0,Romano,Schmid,Romano Schmid,#c90211,,,,,,,,,,,,,,
45,AddedTime,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 4 minutes added,added_injury_time,4.0,,,,,,,,,,,
45,Half,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,,,,,,
46,Substitution,0.0,,1,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Marko Arnautovic,110148,/players/110148/marko-arnautovic
50,Goal,,14205979.0,1,0,/players/1028896/ali-iyad-olwan,False,,,False,Ali Iyad Olwan,1028896.0,"[1, 1]",,assist by Noor Al-Rawabdeh,/players/1036253/noor-al-rawabdeh,1036253.0,assist_by,Noor Al-Rawabdeh,2944810065.0,Goal,5816.0,1028896.0,Ali Iyad Olwan,91.9,43.720509549300004,50.0,,False,True,,,30.492499999999996,1.1814736784,0.08541332930326462,0.7843002676963806,RightFoot,FastBreak,SecondHalf,False,1.9279100529100548,0.31255917417989415,1.0,False,True,450739.0,Ali Iyad,Olwan,Ali Iyad Olwan,#e2001d,,,,,,,,,,,,,,
59,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Paul Wanner,1327149,/players/1327149/paul-wanner
59,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Kevin Danso,754126,/players/754126/kevin-danso
59,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Carney Chukwuemeka,1089685,/players/1089685/carney-chukwuemeka
67,VAR,,14205987.0,1,1,/players/110148/marko-arnautovic,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,"['var_goal_cancelled', 'foul']","['Goal ruled out', 'foul']",,,,,
72,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Saleem Obaid,847766,/players/847766/saleem-obaid
