timeStr,type,overloadTime,homeScore,awayScore,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,eventId,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,injuredPlayerOut,card,cardDescription,substitution_name,substitution_id,substitution_profileUrl
45,AddedTime,,0,0,+ 4 minutes added,added_injury_time,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Half,,0,0,,,,HT,halftime_short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Goal,,0,0,,,,,,14213869.0,/players/1432212/mateo-chavez,False,,,False,Mateo Chávez,1432212.0,"[0, 1]",,assist by Luis Romo,/players/921174/luis-romo,921174.0,assist_by,Luis Romo,2945402485.0,Goal,6710.0,1432212.0,Mateo Chávez,95.2543859636,25.186875,55.0,,False,True,,,35.525000000000006,0.28252631440000003,0.4262368083000183,0.43598175048828125,LeftFoot,RegularPlay,SecondHalf,False,0.5965608465608451,0.07474241121693122,1.0,False,True,1077903.0,Mateo,Chávez,Mateo Chávez,#00634b,,,,,,
56,Substitution,0.0,0,1,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Lukás Provod,791682,/players/791682/lukas-provod
61,Goal,,0,1,,,,,,14213873.0,/players/720560/julian-quinones,False,,,False,Julián Quiñones,720560.0,"[0, 2]",,assist by Jorge Sánchez,/players/727586/jorge-sanchez,727586.0,assist_by,Jorge Sánchez,2945403633.0,Goal,6710.0,720560.0,Julián Quiñones,101.3965517244,35.143750000000004,61.0,,False,True,,,33.5425,0.0834736838,0.7622596025466919,0.9945486187934875,RightFoot,FastBreak,SecondHalf,False,1.121031746031747,0.02208298513227513,1.0,False,True,1077903.0,Julián,Quiñones,Julián Quiñones,#00634b,,,,,,
63,Substitution,0.0,0,2,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Santiago Giménez,954092,/players/954092/santiago-gimenez
63,Substitution,0.0,0,2,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Obed Vargas,1254394,/players/1254394/obed-vargas
63,Card,,0,2,,,,,,14213883.0,/players/783505/edson-alvarez,False,,,,Edson Álvarez,783505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,
64,Substitution,0.0,0,2,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Patrik Schick,540097,/players/540097/patrik-schick
64,Substitution,0.0,0,2,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Tomás Soucek,524437,/players/524437/tomas-soucek
72,Substitution,0.0,0,2,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Álvaro Fidalgo,895954,/players/895954/alvaro-fidalgo
78,Substitution,0.0,0,2,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Guillermo Ochoa,31047,/players/31047/guillermo-ochoa
78,Substitution,0.0,0,2,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Jesús Gallardo,597976,/players/597976/jesus-gallardo
87,Substitution,0.0,0,2,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,Alexandr Sojka,1478281,/players/1478281/alexandr-sojka
87,Substitution,0.0,0,2,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Tomás Chory,523217,/players/523217/tomas-chory
90,AddedTime,,0,2,+ 6 minutes added,added_injury_time,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90 + 4,Goal,4.0,0,2,,,,,,14213909.0,/players/895954/alvaro-fidalgo,False,,,False,Álvaro Fidalgo,895954.0,"[0, 3]",,assist by Roberto Alvarado,/players/720737/roberto-alvarado,720737.0,assist_by,Roberto Alvarado,2945408161.0,Goal,6710.0,895954.0,Álvaro Fidalgo,90.6,31.4075,90.0,4.0,False,True,,,36.05875,1.5859999922,0.21110399067401886,0.7120268940925598,RightFoot,RegularPlay,SecondHalf,False,0.455357142857142,0.4195767175132275,1.0,False,True,1077903.0,Álvaro,Fidalgo,Álvaro Fidalgo,#00634b,,,,,,
90,Half,,0,3,,,,FT,fulltime_short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
