timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,fullName,playerId,card,cardDescription,ownGoal,goalDescription,isPenaltyShootoutEvent,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,addedTime,penalty,VAR,cardDescription.localizedKey,cardDescription.defaultText,substitution_name,substitution_id,substitution_profileUrl
1,Card,,14224850.0,0,0,/players/654096/declan-rice,False,Declan Rice,654096.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Goal,,14224886.0,0,0,/players/1077894/jude-bellingham,False,Jude Bellingham,1077894.0,,,,Header,False,"[0, 1]",,assist by Bukayo Saka,/players/961995/bukayo-saka,961995.0,assist_by,Bukayo Saka,2946431781.0,Goal,8491.0,1077894.0,Jude Bellingham,100.44827586240001,37.431250000000006,36.0,,False,True,,,35.9825,0.3274736826,0.34551069140434265,0.9520127773284912,Header,RegularPlay,FirstHalf,False,0.47552910052910013,0.08663324936507935,1.0,False,True,1227878.0,Jude,Bellingham,Jude Bellingham,#6FA3E6,,,,,,,,,,,,,,
38,Goal,,14224888.0,0,1,/players/1077894/jude-bellingham,False,Jude Bellingham,1077894.0,,,,,False,"[0, 2]",,assist by Harry Kane,/players/194165/harry-kane,194165.0,assist_by,Harry Kane,2946431917.0,Goal,8491.0,1077894.0,Jude Bellingham,101.3965517244,35.6775,38.0,,False,True,,,35.525000000000006,1.0979999946,0.36750102043151855,0.9743183255195618,RightFoot,RegularPlay,FirstHalf,False,0.5965608465608451,0.29047618904761907,1.0,False,True,1227878.0,Jude,Bellingham,Jude Bellingham,#6FA3E6,,,,,,,,,,,,,,
42,Goal,,14224890.0,0,2,/players/720560/julian-quinones,True,Julián Quiñones,720560.0,,,,,False,"[1, 2]",,,,,,,2946432481.0,Goal,6710.0,720560.0,Julián Quiñones,96.3157894727,33.31375,42.0,,False,True,,,34.99125,2.1125263054,0.18856438994407654,0.6681651473045349,RightFoot,SetPiece,FirstHalf,False,0.73776455026455,0.5588693929629629,1.0,False,True,303919.0,Julián,Quiñones,Julián Quiñones,#00634b,,,,,,,,,,,,,,
45,AddedTime,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 5 minutes added,added_injury_time,5.0,,,,,,,,,,,
45,Half,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,,,,,,
46,Substitution,0.0,,1,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,Edson Álvarez,783505,/players/783505/edson-alvarez
54,Card,,14224907.0,1,2,/players/1107620/jarell-quansah,False,Jarell Quansah,1107620.0,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Comment,,0.0,1,2,,False,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,
57,Substitution,0.0,,1,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,John Stones,263653,/players/263653/john-stones
60,Goal,,14224911.0,1,2,/players/194165/harry-kane,False,Harry Kane,194165.0,,,,Penalty,False,"[1, 3]",,,,,,,2946436375.0,Goal,8491.0,194165.0,Harry Kane,94.0,34.0,60.0,,False,True,,,36.97375,0.9374736796,0.7884,0.817842423915863,RightFoot,Penalty,SecondHalf,False,0.21329365079365015,0.24800890994708993,1.0,False,True,1227878.0,Harry,Kane,Harry Kane,#6FA3E6,,,,,,,,,,,,,,
61,Substitution,0.0,,1,3,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Brian Gutiérrez,1170238,/players/1170238/brian-gutierrez
61,Substitution,0.0,,1,3,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Santiago Giménez,954092,/players/954092/santiago-gimenez
68,Card,,14224918.0,1,3,/players/844425/marc-guehi,False,Marc Guéhi,844425.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Comment,,0.0,1,3,,False,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,
69,Goal,,14224919.0,1,3,/players/292313/raul-jimenez,True,Raul Jiménez,292313.0,,,,Penalty,False,"[2, 3]",,,,,,,2946437359.0,Goal,6710.0,292313.0,Raul Jiménez,94.0,34.0,69.0,,False,True,,,35.9825,0.2439999988,0.7884,0.7370924353599548,RightFoot,Penalty,SecondHalf,False,0.47552910052910013,0.06455026423280423,1.0,False,True,303919.0,Raul,Jiménez,Raul Jiménez,#00634b,,,,,,,,,,,,,,
71,Card,,14224920.0,2,3,/players/727586/jorge-sanchez,True,Jorge Sánchez,727586.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Card,,14224921.0,2,3,/players/1300526/nico-oreilly,False,Nico O'Reilly,1300526.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Substitution,0.0,,2,3,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Daniel Burn,188058,/players/188058/daniel-burn
75,Substitution,0.0,,2,3,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Djed Spence,894803,/players/894803/djed-spence
79,Substitution,0.0,,2,3,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Álvaro Fidalgo,895954,/players/895954/alvaro-fidalgo
81,Substitution,0.0,,2,3,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Guillermo Martínez,558539,/players/558539/guillermo-martinez
90,Substitution,0.0,,2,3,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Morgan Rogers,883080,/players/883080/morgan-rogers
90,AddedTime,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 11 minutes added,added_injury_time,11.0,,,,,,,,,,,
90 + 8,Card,8.0,14224933.0,2,3,/players/914103/johan-vasquez,True,Johan Vásquez,914103.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
