timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,shortName,shotmapEvent.shortName,card,cardDescription,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
21,Goal,,14202258.0,0,0,/players/1180288/ismael-saibari,False,,,False,Ismael Saibari,1180288.0,"[0, 1]",,assist by Brahim Díaz,/players/750027/brahim-diaz,750027.0,assist_by,Brahim Díaz,2944513759.0,Goal,6262.0,1180288.0,Ismael Saibari,81.80922330160001,35.29625000000001,21.0,,False,True,,,34.07625,0.7705263120000001,0.6362550258636475,0.2689960300922394,RightFoot,FastBreak,FirstHalf,False,0.9798280423280419,0.2038429396825397,1.0,False,False,319784.0,Ismael,Saibari,Ismael Saibari,#E6251E,,,,,,,,,,,,,
32,Goal,,14202262.0,0,1,/players/846033/vinicius-junior,True,,,False,Vinícius Júnior,846033.0,"[1, 1]",,assist by Bruno Guimarães,/players/850354/bruno-guimaraes,850354.0,assist_by,Bruno Guimarães,2944514467.0,Goal,8256.0,846033.0,Vinícius Júnior,97.4736842099,45.752356684000006,32.0,,False,True,,,31.78875,1.4254736772,0.07970421016216278,0.5393546223640442,RightFoot,RegularPlay,FirstHalf,False,1.5849867724867723,0.3771094384126984,1.0,False,True,340020.0,Vinícius,Júnior,Vinícius Júnior,#2b9217,Vinicius,Vinicius,,,,,,,,,,,
37,Card,,14202265.0,1,1,/players/208494/casemiro,True,,,,Casemiro,208494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
43,Card,,14202271.0,1,1,/players/862538/roger-ibanez,True,,,,Roger Ibañez,862538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
45,AddedTime,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 4 minutes added,added_injury_time,4.0,,,,,,
45,Half,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,
46,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Danilo,208077,/players/208077/danilo
46,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Fabinho,359188,/players/359188/fabinho
61,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Matheus Cunha,863098,/players/863098/matheus-cunha
61,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Luiz Henrique,1176214,/players/1176214/luiz-henrique
64,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Samir El Mourabet,1598170,/players/1598170/samir-el-mourabet
64,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Chemsdine Talbi,1368654,/players/1368654/chemsdine-talbi
80,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Ayoube Amaimouni-Echghouyab,1680173,/players/1680173/ayoube-amaimouni-echghouyab
80,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Anass Salah-Eddine,1050838,/players/1050838/anass-salah-eddine
80,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Danilo,1181700,/players/1181700/danilo
89,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Soufiane Rahimi,988749,/players/988749/soufiane-rahimi
90,AddedTime,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 10 minutes added,added_injury_time,10.0,,,,,,
90,Half,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,fulltime_short,,,,
