eventId,type,card,cardDescription,addedTime,overloadTime,ownGoal,goalDescription,isHome,isPenaltyShootoutEvent,homeScore,awayScore,penalty,VAR,timeStr,profileUrl,penShootoutScore,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,fullName,playerId,newScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
0.0,Comment,,,,,,,False,False,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14226638.0,MissedPenalty,,,,,,,True,False,0,0,,,28.0,/players/701154/kylian-mbappe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AddedTime,,,,,,,,,0,0,,,45.0,,,+ 5 minutes added,added_injury_time,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half,,,,,,,,,0,0,,,45.0,,,,,,HT,halftime_short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14226695.0,Goal,,,,,,,True,False,0,0,,,60.0,/players/701154/kylian-mbappe,,,,,,,Kylian Mbappé,701154.0,"[1, 0]",assist by Désiré Doué,/players/1339208/desire-doue,1339208.0,assist_by,Désiré Doué,2946662647.0,Goal,6723.0,701154.0,Kylian Mbappé,90.0,44.7014012695,60.0,,False,True,,,30.797499999999996,1.3034736778000002,0.05054785683751106,0.6096981167793274,RightFoot,RegularPlay,SecondHalf,False,1.8472222222222223,0.34483430629629636,1.0,False,True,340020.0,Kylian,Mbappé,Kylian Mbappé,#26406A,,,,
,Substitution,,,,0.0,,,False,,1,0,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Sofyan Amrabat,593116,/players/593116/sofyan-amrabat
,Substitution,,,,0.0,,,False,,1,0,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Soufiane Rahimi,988749,/players/988749/soufiane-rahimi
14226701.0,Card,Yellow,,,,,,False,,1,0,,,63.0,/players/696443/issa-diop,,,,,,,Issa Diop,696443.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14226702.0,Goal,,,,,,,True,False,1,0,,,66.0,/players/692984/ousmane-dembele,,,,,,,Ousmane Dembélé,692984.0,"[2, 0]",assist by Kylian Mbappé,/players/701154/kylian-mbappe,701154.0,assist_by,Kylian Mbappé,2946662835.0,Goal,6723.0,692984.0,Ousmane Dembélé,85.70882352880001,33.39,66.0,,False,True,,,31.026249999999997,0.1219999994,0.11944673955440521,0.524848997592926,RightFoot,RegularPlay,SecondHalf,False,1.7867063492063497,0.032275132116402115,1.0,False,False,340020.0,Ousmane,Dembélé,Ousmane Dembélé,#26406A,,,,
,Substitution,,,,0.0,,,True,,2,0,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Warren Zaïre-Emery,1367615,/players/1367615/warren-zaire-emery
,Substitution,,,,0.0,,,False,,2,0,,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Zakaria El Ouahdi,1287871,/players/1287871/zakaria-el-ouahdi
,Substitution,,,,0.0,,,False,,2,0,,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Gessime Yassine,1603755,/players/1603755/gessime-yassine
,Substitution,,,,0.0,,,True,,2,0,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Jean-Philippe Mateta,706297,/players/706297/jean-philippe-mateta
,Substitution,,,,0.0,,,True,,2,0,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Bradley Barcola,1297165,/players/1297165/bradley-barcola
,Substitution,,,,0.0,,,False,,2,0,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Amine Sbaï,1242587,/players/1242587/amine-sbai
,Substitution,,,,0.0,,,True,,2,0,,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Malo Gusto,1197250,/players/1197250/malo-gusto
,AddedTime,,,,,,,,,2,0,,,90.0,,,+ 6 minutes added,added_injury_time,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half,,,,,,,,,2,0,,,90.0,,,,,,FT,fulltime_short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
