timeStr,type,overloadTime,homeScore,awayScore,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,eventId,profileUrl,isHome,fullName,playerId,card,cardDescription,injuredPlayerOut,ownGoal,goalDescription,isPenaltyShootoutEvent,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,addedTime,penaltyScore,VAR,substitution_name,substitution_id,substitution_profileUrl
45,AddedTime,,0,0,+ 6 minutes added,added_injury_time,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Half,,0,0,,,,HT,halftime_short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Card,,0,0,,,,,,14219140.0,/players/696443/issa-diop,False,Issa Diop,696443.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Substitution,0.0,0,0,,,,,,,,True,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teun Koopmeiners,866516,/players/866516/teun-koopmeiners
71,Substitution,0.0,0,0,,,,,,,,True,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wout Weghorst,351999,/players/351999/wout-weghorst
72,Goal,,0,0,,,,,,14219145.0,/players/806552/cody-gakpo,True,Cody Gakpo,806552.0,,,,,,False,"[1, 0]",,assist by Crysencio Summerville,/players/941213/crysencio-summerville,941213.0,assist_by,Crysencio Summerville,2945825133.0,Goal,6708.0,806552.0,Cody Gakpo,92.7,34.4575,72.0,,False,True,,,33.466249999999995,0.3274736826,0.09556145966053009,0.14088307321071625,RightFoot,RegularPlay,SecondHalf,False,1.141203703703705,0.08663324936507935,1.0,False,True,340020.0,Cody,Gakpo,Cody Gakpo,#FB6132,,,,,,
75,Substitution,0.0,1,0,,,,,,,,False,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anass Salah-Eddine,1050838,/players/1050838/anass-salah-eddine
79,Substitution,0.0,1,0,,,,,,,,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gessime Yassine,1603755,/players/1603755/gessime-yassine
79,Substitution,0.0,1,0,,,,,,,,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samir El Mourabet,1598170,/players/1598170/samir-el-mourabet
86,Substitution,0.0,1,0,,,,,,,,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soufiane Rahimi,988749,/players/988749/soufiane-rahimi
86,Substitution,0.0,1,0,,,,,,,,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chemsdine Talbi,1368654,/players/1368654/chemsdine-talbi
86,Substitution,0.0,1,0,,,,,,,,True,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jorrel Hato,1413846,/players/1413846/jorrel-hato
86,Substitution,0.0,1,0,,,,,,,,True,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quinten Timber,970563,/players/970563/quinten-timber
90,AddedTime,,1,0,+ 6 minutes added,added_injury_time,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90 + 1,Goal,1.0,1,0,,,,,,14219161.0,/players/696443/issa-diop,False,Issa Diop,696443.0,,,,,Header,False,"[1, 1]",,assist by Chemsdine Talbi,/players/1368654/chemsdine-talbi,1368654.0,assist_by,Chemsdine Talbi,2945825763.0,Goal,6262.0,696443.0,Issa Diop,96.7017543851,32.17,90.0,1.0,False,True,,,31.48375,1.6245263078,0.17830753326416016,0.736407995223999,Header,RegularPlay,SecondHalf,False,1.665674603174603,0.42976886449735446,1.0,False,True,1131987.0,Issa,Diop,Issa Diop,#E6251E,,,,,,
90,Half,,1,1,,,,FT,fulltime_short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Substitution,0.0,1,1,,,,,,,,True,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marten de Roon,198559,/players/198559/marten-de-roon
113,Substitution,0.0,1,1,,,,,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Justin Kluivert,794253,/players/794253/justin-kluivert
120,AddedTime,,1,1,+ 1 minute added,added_injury_time,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Half,,1,1,,,,AET,afterextratime_short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PenaltyShootout,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2, 3]",,,,
