timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,card,cardDescription,substitution_name,substitution_id,substitution_profileUrl
5,Goal,,14209233.0,0,0,/players/940446/brian-brobbey,True,,,False,Brian Brobbey,940446.0,"[1, 0]",,assist by Cody Gakpo,/players/806552/cody-gakpo,806552.0,assist_by,Cody Gakpo,2945032457.0,Goal,6708.0,940446.0,Brian Brobbey,100.3534482762,33.8475,5.0,,False,True,,,33.31375,0.6099999970000001,0.6594083309173584,0.8669995069503784,RightFoot,RegularPlay,FirstHalf,False,1.1815476190476193,0.16137566058201058,1.0,False,True,73462.0,Brian,Brobbey,Brian Brobbey,#FB6132,,,,,,,,,,,
17,Goal,,14209249.0,1,0,/players/940446/brian-brobbey,True,,,False,Brian Brobbey,940446.0,"[2, 0]",,assist by Denzel Dumfries,/players/593118/denzel-dumfries,593118.0,assist_by,Denzel Dumfries,2945032919.0,Goal,6708.0,940446.0,Brian Brobbey,101.1120689658,31.4075,17.0,,False,True,,,36.8975,0.0385263156,0.6333215236663818,0.9833120107650757,RightFoot,RegularPlay,FirstHalf,False,0.23346560846560827,0.010192146984126984,1.0,False,True,73462.0,Brian,Brobbey,Brian Brobbey,#FB6132,,,,,,,,,,,
45,AddedTime,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 4 minutes added,added_injury_time,4.0,,,,,,,,
45,Half,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,,,
46,Substitution,0.0,,2,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Crysencio Summerville,941213,/players/941213/crysencio-summerville
47,Goal,,14209302.0,2,0,/players/806552/cody-gakpo,True,,,False,Cody Gakpo,806552.0,"[3, 0]",,assist by Denzel Dumfries,/players/593118/denzel-dumfries,593118.0,assist_by,Denzel Dumfries,2945035217.0,Goal,6708.0,806552.0,Cody Gakpo,103.7672413794,36.135000000000005,47.0,,False,True,,,33.31375,0.2439999988,0.9468625783920288,0.9790678024291992,LeftFoot,RegularPlay,SecondHalf,False,1.1815476190476193,0.06455026423280423,1.0,False,True,73462.0,Cody,Gakpo,Cody Gakpo,#FB6132,,,,,,,,,,,
53,Card,,14209311.0,3,0,/players/744494/gabriel-gudmundsson,False,,,,Gabriel Gudmundsson,744494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,
54,Goal,,14209312.0,3,0,/players/806552/cody-gakpo,True,,,False,Cody Gakpo,806552.0,"[4, 0]",,assist by Crysencio Summerville,/players/941213/crysencio-summerville,941213.0,assist_by,Crysencio Summerville,2945035501.0,Goal,6708.0,806552.0,Cody Gakpo,91.7,43.16,54.0,,False,True,,,37.2025,0.160526315,0.13121670484542847,0.6616020798683167,RightFoot,FastBreak,SecondHalf,False,0.15277777777777768,0.042467279100529096,1.0,False,True,73462.0,Cody,Gakpo,Cody Gakpo,#FB6132,,,,,,,,,,,
55,Substitution,0.0,,4,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Besfort Zeneli,1338361,/players/1338361/besfort-zeneli
55,Substitution,0.0,,4,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Lucas Bergvall,1386775,/players/1386775/lucas-bergvall
