timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,assistPlayerId,assistKey,assistInput,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
3,Goal,,14214371.0,0,0,/players/574642/ellyes-skhiri,False,True,Own goal,False,Ellyes Skhiri,574642.0,"[0, 1]",,,,2945438581.0,Goal,6719.0,574642.0,Ellyes Skhiri,4.3620689652,33.8475,3.0,,False,True,,,34.305,0.3659999982,,,LeftFoot,RegularPlay,FirstHalf,True,0.9193121693121694,0.09682539634920634,1.0,False,True,982855.0,Ellyes,Skhiri,Ellyes Skhiri,#D7393D,,,,,,,,,,,,
7,Goal,,14214372.0,0,1,/players/940446/brian-brobbey,False,,,False,Brian Brobbey,940446.0,"[0, 2]",,assist by Virgil van Dijk,/players/209405/virgil-van-dijk,2945438853.0,Goal,6708.0,940446.0,Brian Brobbey,99.1140350876,30.279999999999998,7.0,,False,True,,,31.559999999999995,1.3419999934,0.4516678750514984,0.859537661075592,RightFoot,SetPiece,FirstHalf,False,1.6455026455026467,0.35502645328042326,1.0,False,True,982855.0,Brian,Brobbey,Brian Brobbey,#FB6132,209405.0,assist_by,Virgil van Dijk,,,,,,,,,
45,AddedTime,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 3 minutes added,added_injury_time,3.0,,,,,,
45,Half,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,
54,Goal,,14214388.0,0,2,/players/1311408/hazem-mastouri,True,,Header,False,Hazem Mastouri,1311408.0,"[1, 2]",,assist by Hannibal Mejbri,/players/1113785/hannibal-mejbri,2945445901.0,Goal,6719.0,1311408.0,Hazem Mastouri,97.4736842099,33.77125,54.0,,False,True,,,37.05,1.0979999946,0.11385083943605423,0.8010129332542419,Header,FromCorner,SecondHalf,False,0.19312169312169392,0.29047618904761907,1.0,False,True,1131987.0,Hazem,Mastouri,Hazem Mastouri,#D7393D,1113785.0,assist_by,Hannibal Mejbri,,,,,,,,,
62,Goal,,14214393.0,1,2,/players/974618/jan-paul-van-hecke,False,,Header,False,Jan Paul van Hecke,974618.0,"[1, 3]",,assist by Tijjani Reijnders,/players/868344/tijjani-reijnders,2945446875.0,Goal,6708.0,974618.0,Jan Paul van Hecke,100.8275862072,41.3678125,62.0,,False,True,,,30.873749999999998,1.9134736748,0.03903792425990105,0.5811936259269714,Header,FromCorner,SecondHalf,False,1.8270502645502642,0.5062099668783069,1.0,False,True,982855.0,Jan Paul,van Hecke,Jan Paul van Hecke,#FB6132,868344.0,assist_by,Tijjani Reijnders,,,,,,,,,
67,Substitution,0.0,,1,3,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Hadj Mahmoud,1131896,/players/1131896/hadj-mahmoud
67,Substitution,0.0,,1,3,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Elias Achouri,1015128,/players/1015128/elias-achouri
67,Substitution,0.0,,1,3,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mortadha Ben Ouanes,712132,/players/712132/mortadha-ben-ouanes
72,Substitution,0.0,,1,3,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Teun Koopmeiners,866516,/players/866516/teun-koopmeiners
72,Substitution,0.0,,1,3,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Justin Kluivert,794253,/players/794253/justin-kluivert
72,Substitution,0.0,,1,3,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Crysencio Summerville,941213,/players/941213/crysencio-summerville
75,Substitution,0.0,,1,3,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Firas Chaouat,845336,/players/845336/firas-chaouat
77,Substitution,0.0,,1,3,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Memphis Depay,303824,/players/303824/memphis-depay
84,Substitution,0.0,,1,3,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Noa Lang,837341,/players/837341/noa-lang
90,Substitution,0.0,,1,3,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Sebastian Tounekti,921919,/players/921919/sebastian-tounekti
90,AddedTime,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 5 minutes added,added_injury_time,5.0,,,,,,
90,Half,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,fulltime_short,,,,
