timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,VAR.pendingDecision,VAR.decision.key,VAR.decision.value,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,card,cardDescription,assistPlayerId,assistKey,assistInput,substitution_name,substitution_id,substitution_profileUrl
19,VAR,,14215280.0,0,0,/players/1325761/finn-surman,False,False,['var_penalty_cancelled'],['Penalty cancelled'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Goal,,14215286.0,0,0,/players/318615/leandro-trossard,False,,,,,,False,Leandro Trossard,318615.0,"[0, 1]",,,,2945521111.0,Goal,8263.0,318615.0,Leandro Trossard,103.19827586219999,32.0175,28.0,,False,True,,,32.0175,1.1814736784,0.5036844611167908,0.6359497904777527,RightFoot,FromCorner,FirstHalf,False,1.5244708994709,0.31255917417989415,1.0,False,True,315201.0,Leandro,Trossard,Leandro Trossard,#9f2533,,,,,,,,,,,,,,
45,AddedTime,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 6 minutes added,added_injury_time,6.0,,,,,,,,,,,
45,Half,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,,,,,,
46,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Benjamin Old,1257745,/players/1257745/benjamin-old
46,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Jesse Randall,1460327,/players/1460327/jesse-randall
46,Card,,14215309.0,0,1,/players/1209597/marko-stamenic,True,,,,,,,Marko Stamenic,1209597.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,
50,Goal,,14215318.0,0,1,/players/318615/leandro-trossard,False,,,,,,False,Leandro Trossard,318615.0,"[0, 2]",,assist by Hans Vanaken,/players/203666/hans-vanaken,2945523333.0,Goal,8263.0,318615.0,Leandro Trossard,95.4473684198,38.368333335,50.0,,False,True,,,36.8975,1.6694736760000002,0.07301421463489532,0.746379554271698,RightFoot,RegularPlay,SecondHalf,False,0.23346560846560827,0.44165970264550264,1.0,False,True,315201.0,Leandro,Trossard,Leandro Trossard,#9f2533,,,,,,,,,203666.0,assist_by,Hans Vanaken,,,
56,Substitution,0.0,,0,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Matias Fernandez-Pardo,1444231,/players/1444231/matias-fernandez-pardo
56,Card,,14215322.0,0,2,/players/1053736/elijah-just,True,,,,,,,Elijah Just,1053736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,
64,Substitution,0.0,,0,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Michael Boxall,128949,/players/128949/michael-boxall
