timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,card,cardDescription,injuredPlayerOut,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,substitution_name,substitution_id,substitution_profileUrl
15,Goal,,14212411.0,0,0,/players/1325761/finn-surman,True,,Header,False,Finn Surman,1325761.0,"[1, 0]",,assist by Tim Payne,/players/324305/tim-payne,324305.0,assist_by,Tim Payne,2945213921.0,Goal,5820.0,1325761.0,Finn Surman,98.24561403470001,35.220000000000006,15.0,,False,True,,,36.440000000000005,1.3419999934,0.12975873053073883,0.5321220755577087,Header,FromCorner,FirstHalf,False,0.3544973544973533,0.35502645328042326,1.0,False,True,1228546.0,Finn,Surman,Finn Surman,#000000,,,,,,,,,,,
17,Card,,14212413.0,1,0,/players/906944/mohanad-lasheen,False,,,,Mohanad Lasheen,906944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
20,Card,,14212414.0,1,0,/players/724531/sarpreet-singh,True,,,,Sarpreet Singh,724531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
34,Card,,14212418.0,1,0,/players/848352/callum-mccowatt,True,,,,Callum McCowatt,848352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
41,Substitution,0.0,,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,Rami Rabia,505872,/players/505872/rami-rabia
45,AddedTime,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 4 minutes added,added_injury_time,4.0,,,,,
45,Half,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,
58,Goal,,14212422.0,1,0,/players/1426403/mostafa-ziko,False,,Header,False,Mostafa Ziko,1426403.0,"[1, 1]",,assist by Mohamed Hany,/players/660213/mohamed-hany,660213.0,assist_by,Mohamed Hany,2945217727.0,Goal,10255.0,1426403.0,Mostafa Ziko,96.79824561320001,36.440000000000005,58.0,,False,True,,,34.99125,1.990526306,0.18615217506885529,0.16844092309474945,Header,RegularPlay,SecondHalf,False,0.73776455026455,0.5265942608465608,1.0,False,True,315201.0,Mostafa,Ziko,Mostafa Ziko,#DE313C,,,,,,,,,,,
66,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Benjamin Old,1257745,/players/1257745/benjamin-old
67,Goal,,14212426.0,1,1,/players/292462/mohamed-salah,False,,,False,Mohamed Salah,292462.0,"[1, 2]",,assist by Mostafa Ziko,/players/1426403/mostafa-ziko,1426403.0,assist_by,Mostafa Ziko,2945218653.0,Goal,10255.0,292462.0,Mohamed Salah,91.9,28.454999999,67.0,,False,True,,,36.440000000000005,0.0834736838,0.15965917706489563,0.8159679770469666,LeftFoot,RegularPlay,SecondHalf,False,0.3544973544973533,0.02208298513227513,1.0,False,True,315201.0,Mohamed,Salah,Mohamed Salah,#DE313C,,,,,,,,,,,
76,Substitution,0.0,,1,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Jesse Randall,1460327,/players/1460327/jesse-randall
76,Substitution,0.0,,1,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,Ryan Thomas,496356,/players/496356/ryan-thomas
