timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,card,cardDescription,substitution_name,substitution_id,substitution_profileUrl
7,Goal,,14205592.0,0,0,/players/1053736/elijah-just,False,,,False,Elijah Just,1053736.0,"[0, 1]",,assist by Chris Wood,/players/169719/chris-wood,169719.0,assist_by,Chris Wood,2944761305.0,Goal,5820.0,1053736.0,Elijah Just,96.2192982446,32.17,7.0,,False,True,,,32.6275,1.9134736748,0.10952213406562805,0.46981751918792725,RightFoot,RegularPlay,FirstHalf,False,1.3630952380952386,0.5062099668783069,1.0,False,True,505313.0,Elijah,Just,Elijah Just,#000000,,,,,,,,,,,
32,Goal,,14205630.0,0,1,/players/505959/ramin-rezaeian,True,,,False,Ramin Rezaeian,505959.0,"[1, 1]",,,,,,,2944763947.0,Goal,6711.0,505959.0,Ramin Rezaeian,98.92105263139999,30.304,32.0,,False,True,,,36.21125,0.7705263120000001,0.3479822874069214,0.7800785899162292,RightFoot,RegularPlay,FirstHalf,False,0.41501322751322767,0.2038429396825397,1.0,False,True,315201.0,Ramin,Rezaeian,Ramin Rezaeian,#E21D27,,,,,,,,,,,
45,AddedTime,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 6 minutes added,added_injury_time,6.0,,,,,,,,
45,Half,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,,,
46,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Mehdi Ghayedi,848314,/players/848314/mehdi-ghayedi
53,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Ali Alipour,505960,/players/505960/ali-alipour
54,Goal,,14205656.0,1,1,/players/1053736/elijah-just,False,,,False,Elijah Just,1053736.0,"[1, 2]",,assist by Chris Wood,/players/169719/chris-wood,169719.0,assist_by,Chris Wood,2944766457.0,Goal,5820.0,1053736.0,Elijah Just,94.8684210512,24.84,54.0,,False,True,,,33.00875,1.2585263096000001,0.19760830700397491,0.1731061190366745,RightFoot,FastBreak,SecondHalf,False,1.26223544973545,0.3329434681481482,1.0,False,True,505313.0,Elijah,Just,Elijah Just,#000000,,,,,,,,,,,
64,Goal,,14205658.0,1,2,/players/1073012/mohammad-mohebi,True,,Header,False,Mohammad Mohebi,1073012.0,"[2, 2]",,assist by Ramin Rezaeian,/players/505959/ramin-rezaeian,505959.0,assist_by,Ramin Rezaeian,2944766789.0,Goal,6711.0,1073012.0,Mohammad Mohebi,96.79824561320001,34.0,64.0,,False,True,,,36.5925,0.5265263132,0.28462669253349304,0.8750246167182922,Header,RegularPlay,SecondHalf,False,0.31415343915343885,0.13929267544973545,1.0,False,True,315201.0,Mohammad,Mohebi,Mohammad Mohebi,#E21D27,,,,,,,,,,,
65,Substitution,0.0,,2,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Ehsan Haji Safi,117222,/players/117222/ehsan-haji-safi
68,Substitution,0.0,,2,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Benjamin Old,1257745,/players/1257745/benjamin-old
