timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,fullName,playerId,card,cardDescription,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,ownGoal,goalDescription,isPenaltyShootoutEvent,newScore,penShootoutScore,assistStr,assistProfileUrl,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,assistPlayerId,assistKey,assistInput,VAR.pendingDecision,VAR.decision.key,VAR.decision.value,substitution_name,substitution_id,substitution_profileUrl
17,Card,,14220021.0,0,0,/players/614006/ruben-dias,True,Rúben Dias,614006.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,AddedTime,,,0,0,,,,,,,+ 4 minutes added,added_injury_time,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Half,,,0,0,,,,,,,,,,HT,halftime_short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Substitution,0.0,,0,0,,False,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Igor Matanovic,1210893,/players/1210893/igor-matanovic
53,Goal,,14220031.0,0,0,/players/163670/ivan-perisic,False,Ivan Perisic,163670.0,,,,,,,,,,,False,"[0, 1]",,,,2945959351.0,Goal,10155.0,163670.0,Ivan Perisic,97.1842105256,43.440254772100005,53.0,,False,True,,,33.466249999999995,0.5265263132,0.2144245207309723,0.19150830805301666,LeftFoot,RegularPlay,SecondHalf,False,1.141203703703705,0.13929267544973545,1.0,False,True,795630.0,Ivan,Perisic,Ivan Perisic,#CC3737,,,,,,,,,
59,Card,,14220033.0,0,1,/players/31097/luka-modric,False,Luka Modric,31097.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Substitution,0.0,,0,1,,True,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francisco Conceição,1185336,/players/1185336/francisco-conceicao
62,Substitution,0.0,,0,1,,True,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bernardo Silva,488139,/players/488139/bernardo-silva
62,Substitution,0.0,,0,1,,True,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nélson Semedo,470834,/players/470834/nelson-semedo
62,Substitution,0.0,,0,1,,True,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gonçalo Ramos,940087,/players/940087/goncalo-ramos
68,Substitution,0.0,,0,1,,False,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mario Pasalic,446266,/players/446266/mario-pasalic
68,Goal,,14220049.0,0,1,/players/30893/cristiano-ronaldo,True,Cristiano Ronaldo,30893.0,,,,,,,,,,Penalty,False,"[1, 1]",,,,2945961143.0,Goal,8361.0,30893.0,Cristiano Ronaldo,94.0,34.0,68.0,,False,True,,,34.4575,1.1814736784,0.7884,0.9204594492912292,RightFoot,Penalty,SecondHalf,False,0.8789682539682532,0.31255917417989415,1.0,False,True,383971.0,Cristiano,Ronaldo,Cristiano Ronaldo,#ab0027,,,,,,,,,
81,Substitution,0.0,,1,1,,True,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rúben Neves,534684,/players/534684/ruben-neves
90,AddedTime,,,1,1,,,,,,,+ 10 minutes added,added_injury_time,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90 + 2,Substitution,2.0,,1,1,,False,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josko Gvardiol,1070712,/players/1070712/josko-gvardiol
90 + 4,Goal,4.0,14220073.0,1,1,/players/940087/goncalo-ramos,True,Gonçalo Ramos,940087.0,,,,,,,,,,Header,False,"[2, 1]",,assist by Rafael Leão,/players/848844/rafael-leao,2945964231.0,Goal,8361.0,940087.0,Gonçalo Ramos,96.3157894727,33.31375,90.0,4.0,False,True,,,31.4075,1.1365263102,0.07257051765918732,0.530201256275177,Header,RegularPlay,SecondHalf,False,1.6858465608465611,0.30066833603174603,1.0,False,True,383971.0,Gonçalo,Ramos,Gonçalo Ramos,#ab0027,848844.0,assist_by,Rafael Leão,,,,,,
90 + 6,Substitution,6.0,,2,1,,False,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrej Kramaric,173461,/players/173461/andrej-kramaric
90 + 8,Card,8.0,14220080.0,2,1,/players/163670/ivan-perisic,False,Ivan Perisic,163670.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90 + 13,VAR,13.0,14220082.0,2,1,/players/1070712/josko-gvardiol,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,"['var_goal_cancelled', 'offside']","['Goal ruled out', 'offside']",,,
90,Half,,,2,1,,,,,,,,,,FT,fulltime_short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
