timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,card,cardDescription,VAR.pendingDecision,VAR.decision.key,VAR.decision.value,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
6,Goal,,14213169.0,0,0,/players/30893/cristiano-ronaldo,True,,,False,Cristiano Ronaldo,30893.0,"[1, 0]",,assist by João Cancelo,/players/361757/joao-cancelo,361757.0,assist_by,João Cancelo,2945307937.0,Goal,8361.0,30893.0,Cristiano Ronaldo,97.6666666661,31.254999999999995,6.0,,False,True,,,30.95,0.44947368200000004,0.17537087202072144,0.6721287369728088,RightFoot,RegularPlay,FirstHalf,False,1.806878306878306,0.11890838148148149,1.0,False,True,1259187.0,Cristiano,Ronaldo,Cristiano Ronaldo,#ab0027,,,,,,,,,,,,,,
14,Card,,14213176.0,1,0,/players/619697/odildzhon-khamrobekov,False,,,,Odildzhon Khamrobekov,619697.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,,,,
17,Goal,,14213177.0,1,0,/players/1158945/nuno-mendes,True,,Direct freekick,False,Nuno Mendes,1158945.0,"[2, 0]",,,,,,,2945309331.0,Goal,8361.0,1158945.0,Nuno Mendes,87.21176470559999,31.865,17.0,,False,True,,,35.9825,0.20547368320000003,0.16807134449481964,0.19724851846694946,LeftFoot,FreeKick,FirstHalf,False,0.47552910052910013,0.05435811724867726,1.0,False,False,1259187.0,Nuno,Mendes,Nuno Mendes,#ab0027,,,,,,,,,,,,,,
29,VAR,,14213184.0,2,0,/players/629823/azizjon-ganiev,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,"['var_goal_cancelled', 'foul']","['Goal ruled out', 'foul']",,,,,,,,,
39,Goal,,14213202.0,2,0,/players/30893/cristiano-ronaldo,True,,,False,Cristiano Ronaldo,30893.0,"[3, 0]",,assist by Bruno Fernandes,/players/422685/bruno-fernandes,422685.0,assist_by,Bruno Fernandes,2945312177.0,Goal,8361.0,30893.0,Cristiano Ronaldo,95.640350876,21.897324844499998,39.0,,False,True,,,36.97375,0.1219999994,0.2751999795436859,0.5265066027641296,RightFoot,FastBreak,FirstHalf,False,0.21329365079365015,0.032275132116402115,1.0,False,True,1259187.0,Cristiano,Ronaldo,Cristiano Ronaldo,#ab0027,,,,,,,,,,,,,,
45,AddedTime,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 6 minutes added,added_injury_time,6.0,,,,,,
45,Half,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,
46,Substitution,0.0,,3,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Khoziakbar Alidzhanov,940778,/players/940778/khoziakbar-alidzhanov
46,Substitution,0.0,,3,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Akmal Mozgovoy,929168,/players/929168/akmal-mozgovoy
46,Substitution,0.0,,3,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Nélson Semedo,470834,/players/470834/nelson-semedo
46,Substitution,0.0,,3,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Francisco Conceição,1185336,/players/1185336/francisco-conceicao
60,Goal,,14213234.0,3,0,/players/1259187/abduvohid-nematov,True,True,Own goal,False,Abduvohid Nematov,1259187.0,"[4, 0]",,,,,,,2945315615.0,Goal,8700.0,1259187.0,Abduvohid Nematov,1.0431034482000001,36.2875,60.0,,False,True,,,32.0175,0.4879999976,,,OtherBodyParts,FromCorner,SecondHalf,True,1.5244708994709,0.12910052846560846,1.0,False,True,1259187.0,Abduvohid,Nematov,Abduvohid Nematov,#294AA7,,,,,,,,,,,,,,
