timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,card,cardDescription,substitution_name,substitution_id,substitution_profileUrl
29,Goal,,14213622.0,0,0,/players/1684401/kerim-alajbegovic,True,,,False,Kerim Alajbegovic,1684401.0,"[1, 0]",,assist by Ivan Basic,/players/1179875/ivan-basic,1179875.0,assist_by,Ivan Basic,2945364265.0,Goal,10106.0,1684401.0,Kerim Alajbegovic,84.62475728160001,24.699872616500002,29.0,,False,True,,,31.026249999999997,1.3805263090000002,0.05685396492481232,0.2860611379146576,RightFoot,RegularPlay,FirstHalf,False,1.7867063492063497,0.3652186002645503,1.0,False,False,1213141.0,Kerim,Alajbegovic,Kerim Alajbegovic,#027EB0,,,,,,,,,,,
34,Goal,,14213626.0,1,0,/players/1213141/mahmud-abunada,True,True,Own goal,False,Mahmud Abunada,1213141.0,"[2, 0]",,,,,,,2945364601.0,Goal,5902.0,1213141.0,Mahmud Abunada,1.0431034482000001,35.143750000000004,34.0,,False,True,,,31.559999999999995,0.7705263120000001,,,OtherBodyParts,RegularPlay,FirstHalf,True,1.6455026455026467,0.2038429396825397,1.0,False,True,1213141.0,Mahmud,Abunada,Mahmud Abunada,#983840,,,,,,,,,,,
42,Goal,,14213627.0,2,0,/players/117539/hassan-al-haidos,False,,,False,Hassan Al Haidos,117539.0,"[2, 1]",,assist by Edmílson Junior,/players/365245/edmilson-junior,365245.0,assist_by,Edmílson Junior,2945365153.0,Goal,5902.0,117539.0,Hassan Al Haidos,100.3534482762,35.525000000000006,42.0,,False,True,,,33.5425,0.160526315,0.3267222046852112,0.8905888795852661,RightFoot,RegularPlay,FirstHalf,False,1.121031746031747,0.042467279100529096,1.0,False,True,466867.0,Hassan,Al Haidos,Hassan Al Haidos,#983840,,,,,,,,,,,
45,AddedTime,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 5 minutes added,added_injury_time,5.0,,,,,,,,
45,Half,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,,,
46,Substitution,0.0,,2,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Benjamin Tahirovic,1415104,/players/1415104/benjamin-tahirovic
46,Substitution,0.0,,2,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Amar Memic,1300385,/players/1300385/amar-memic
46,Substitution,0.0,,2,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Abdulaziz Hatem,308909,/players/308909/abdulaziz-hatem
55,Substitution,0.0,,2,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,Ahmed Al Ganehi,1210913,/players/1210913/ahmed-al-ganehi
63,Substitution,0.0,,2,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Dennis Hadzikadunic,797797,/players/797797/dennis-hadzikadunic
63,Substitution,0.0,,2,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Ermin Mahmic,1528815,/players/1528815/ermin-mahmic
72,Substitution,0.0,,2,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Almoez Ali,644017,/players/644017/almoez-ali
78,Card,,14213664.0,2,1,/players/898424/ahmed-fathi,False,,,,Ahmed Fathi,898424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,
79,Substitution,0.0,,2,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Ahmed Alaaeldin,264096,/players/264096/ahmed-alaaeldin
79,Substitution,0.0,,2,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Mohamed Al Mannai,1553870,/players/1553870/mohamed-al-mannai
80,Goal,,14213671.0,2,1,/players/1528815/ermin-mahmic,True,,,False,Ermin Mahmic,1528815.0,"[3, 1]",,assist by Dennis Hadzikadunic,/players/797797/dennis-hadzikadunic,797797.0,assist_by,Dennis Hadzikadunic,2945368429.0,Goal,10106.0,1528815.0,Ermin Mahmic,93.7,32.0175,80.0,,False,True,,,33.2375,0.3274736826,0.053436122834682465,0.1900634616613388,RightFoot,FromCorner,SecondHalf,False,1.2017195767195774,0.08663324936507935,1.0,False,True,1213141.0,Ermin,Mahmic,Ermin Mahmic,#027EB0,,,,,,,,,,,
82,Substitution,0.0,,3,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Dzenis Burnic,660148,/players/660148/dzenis-burnic
82,Card,,14213676.0,3,1,/players/1528815/ermin-mahmic,True,,,,Ermin Mahmic,1528815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,
90,AddedTime,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 6 minutes added,added_injury_time,6.0,,,,,,,,
90,Half,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,fulltime_short,,,,,,
