timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,assistPlayerId,assistKey,assistInput,card,cardDescription,cardDescription.localizedKey,cardDescription.defaultText,substitution_name,substitution_id,substitution_profileUrl
24,Goal,,14219559.0,0,0,/players/1285866/habib-diarra,False,,,False,Habib Diarra,1285866.0,"[0, 1]",,,,2945899261.0,Goal,6395.0,1285866.0,Habib Diarra,100.732758621,31.1025,24.0,,False,True,,,34.61,1.1814736784,0.7021912336349487,0.9879818558692932,RightFoot,RegularPlay,FirstHalf,False,0.8386243386243388,0.31255917417989415,1.0,False,True,170323.0,Habib,Diarra,Habib Diarra,#0c954e,,,,,,,,,,,,,,,,
45,AddedTime,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 5 minutes added,added_injury_time,5.0,,,,,,,,,,,,,
45,Half,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,,,,,,,,
46,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,Romelu Lukaku,181276,/players/181276/romelu-lukaku
51,Goal,,14219575.0,0,1,/players/771294/ismaila-sarr,False,,,False,Ismaïla Sarr,771294.0,"[0, 2]",,assist by Moussa Niakhaté,/players/592102/moussa-niakhate,2945903359.0,Goal,6395.0,771294.0,Ismaïla Sarr,94.8684210512,30.95,51.0,,False,True,,,31.559999999999995,1.1814736784,0.3918098509311676,0.6559295058250427,RightFoot,RegularPlay,SecondHalf,False,1.6455026455026467,0.31255917417989415,1.0,False,True,170323.0,Ismaïla,Sarr,Ismaïla Sarr,#0c954e,,,,,,,592102.0,assist_by,Moussa Niakhaté,,,,,,,
56,Substitution,0.0,,0,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,Nicolas Raskin,863869,/players/863869/nicolas-raskin
56,Substitution,0.0,,0,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,Dodi Lukébakio,688876,/players/688876/dodi-lukebakio
63,Substitution,0.0,,0,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,Diego Moreira,1342754,/players/1342754/diego-moreira
64,Card,,14219583.0,0,2,/players/445873/brandon-mechele,True,,,,Brandon Mechele,445873.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,
66,Substitution,0.0,,0,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,Lamine Camara,1436305,/players/1436305/lamine-camara
