timeStr,type,overloadTime,homeScore,awayScore,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,eventId,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
45,AddedTime,,0,0,+ 6 minutes added,added_injury_time,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Half,,0,0,,,,HT,halftime_short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Goal,,0,0,,,,,,14205853.0,/players/701154/kylian-mbappe,True,,,False,Kylian Mbappé,701154.0,"[1, 0]",,assist by Michael Olise,/players/1029063/michael-olise,1029063.0,assist_by,Michael Olise,2944789237.0,Goal,6723.0,701154.0,Kylian Mbappé,97.7631578942,25.7071875,66.0,,False,True,,,35.143750000000004,0.1219999994,0.3127729892730713,0.4071459472179413,RightFoot,RegularPlay,SecondHalf,False,0.6974206349206338,0.032275132116402115,1.0,False,True,773229.0,Kylian,Mbappé,Kylian Mbappé,#26406A,,,,
75,Substitution,0.0,1,0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Ibrahim Mbaye,1593857,/players/1593857/ibrahim-mbaye
75,Substitution,0.0,1,0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Habib Diarra,1285866,/players/1285866/habib-diarra
80,Substitution,0.0,1,0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Bradley Barcola,1297165,/players/1297165/bradley-barcola
82,Goal,,1,0,,,,,,14205865.0,/players/1297165/bradley-barcola,True,,,False,Bradley Barcola,1297165.0,"[2, 0]",,assist by Adrien Rabiot,/players/352879/adrien-rabiot,352879.0,assist_by,Adrien Rabiot,2944791333.0,Goal,6723.0,1297165.0,Bradley Barcola,95.9298245603,24.2794904507,82.0,,False,True,,,32.0175,0.5265263132,0.42857176065444946,0.5540370941162109,RightFoot,FastBreak,SecondHalf,False,1.5244708994709,0.13929267544973545,1.0,False,True,773229.0,Bradley,Barcola,Bradley Barcola,#26406A,,,,
83,Substitution,0.0,2,0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Bamba Dieng,1230848,/players/1230848/bamba-dieng
83,Substitution,0.0,2,0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Iliman Ndiaye,965764,/players/965764/iliman-ndiaye
87,Substitution,0.0,2,0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Rayan Cherki,1104053,/players/1104053/rayan-cherki
88,Substitution,0.0,2,0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Pathé Ciss,872396,/players/872396/pathe-ciss
90,AddedTime,,2,0,+ 8 minutes added,added_injury_time,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90 + 5,Goal,5.0,2,0,,,,,,14205883.0,/players/1593857/ibrahim-mbaye,False,,,False,Ibrahim Mbaye,1593857.0,"[2, 1]",,assist by Iliman Ndiaye,/players/965764/iliman-ndiaye,965764.0,assist_by,Iliman Ndiaye,2944793179.0,Goal,6395.0,1593857.0,Ibrahim Mbaye,95.640350876,20.2157961813,90.0,5.0,False,True,,,32.17,1.7079999916000002,0.09681514650583267,0.156823068857193,RightFoot,FastBreak,SecondHalf,False,1.4841269841269837,0.45185184962962965,1.0,False,True,466439.0,Ibrahim,Mbaye,Ibrahim Mbaye,#0c954e,,,,
90 + 6,Goal,6.0,2,1,,,,,,14205885.0,/players/701154/kylian-mbappe,True,,,False,Kylian Mbappé,701154.0,"[3, 1]",,,,,,,2944793323.0,Goal,6723.0,701154.0,Kylian Mbappé,78.5432038848,29.715714284,90.0,6.0,False,True,,,35.75375,1.5859999922,0.03555253893136978,0.1074286475777626,RightFoot,RegularPlay,SecondHalf,False,0.5360449735449745,0.4195767175132275,1.0,False,False,773229.0,Kylian,Mbappé,Kylian Mbappé,#26406A,,,,
90,Half,,3,1,,,,FT,fulltime_short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
