timeStr,type,overloadTime,homeScore,awayScore,profileUrl,isHome,injuredPlayerOut,eventId,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,shortName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.shortName,shotmapEvent.teamColor,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,assistPlayerId,assistKey,assistInput,substitution_name,substitution_id,substitution_profileUrl
13,Substitution,0.0,0,0,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marcus Holmgren Pedersen,935622,/players/935622/marcus-holmgren-pedersen
43,Goal,,0,0,/players/935622/marcus-holmgren-pedersen,True,,14212870.0,,,False,Marcus Holmgren Pedersen,Holmgren Pedersen,935622.0,"[1, 0]",,,,2945257759.0,Goal,8492.0,935622.0,Marcus Holmgren Pedersen,94.4824561388,23.5788535077,43.0,,False,True,,,32.474999999999994,1.6694736760000002,0.13304269313812256,0.2177668660879135,RightFoot,RegularPlay,FirstHalf,False,1.4034391534391548,0.44165970264550264,1.0,False,True,773229.0,Marcus Holmgren,Pedersen,Marcus Holmgren Pedersen,Holmgren Pedersen,#b53032,,,,,,,,,,,
45,AddedTime,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 4 minutes added,added_injury_time,4.0,,,,,,,,
45,Half,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,,,
46,Substitution,0.0,1,0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patrick Berg,530635,/players/530635/patrick-berg
48,Goal,,1,0,/players/737066/erling-haaland,True,,14212881.0,,,False,Erling Haaland,,737066.0,"[2, 0]",,assist by Martin Ødegaard,/players/534670/martin-odegaard,2945258979.0,Goal,8492.0,737066.0,Erling Haaland,93.0,40.217380953,48.0,,False,True,,,31.78875,1.7079999916000002,0.21623967587947845,0.5244457721710205,LeftFoot,FastBreak,SecondHalf,False,1.5849867724867723,0.45185184962962965,1.0,False,True,773229.0,Erling,Haaland,Erling Haaland,,#b53032,,,,,,534670.0,assist_by,Martin Ødegaard,,,
53,Goal,,2,0,/players/771294/ismaila-sarr,False,,14212883.0,,,False,Ismaïla Sarr,,771294.0,"[2, 1]",,assist by Sadio Mané,/players/303339/sadio-mane,2945259153.0,Goal,6395.0,771294.0,Ismaïla Sarr,97.2807017537,31.1025,53.0,,False,True,,,32.17,1.4254736772,0.19070373475551605,0.39468973875045776,RightFoot,RegularPlay,SecondHalf,False,1.4841269841269837,0.3771094384126984,1.0,False,True,73409.0,Ismaïla,Sarr,Ismaïla Sarr,,#0c954e,,,,,,303339.0,assist_by,Sadio Mané,,,
54,Substitution,0.0,2,1,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ismail Jakobs,906945,/players/906945/ismail-jakobs
54,Substitution,0.0,2,1,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibrahim Mbaye,1593857,/players/1593857/ibrahim-mbaye
58,Goal,,2,1,/players/737066/erling-haaland,True,,14212889.0,,,False,Erling Haaland,,737066.0,"[3, 1]",,assist by Patrick Berg,/players/530635/patrick-berg,2945259289.0,Goal,8492.0,737066.0,Erling Haaland,96.4122807008,37.696,58.0,,False,True,,,33.5425,1.9134736748,0.30295878648757935,0.580037534236908,RightFoot,RegularPlay,SecondHalf,False,1.121031746031747,0.5062099668783069,1.0,False,True,773229.0,Erling,Haaland,Erling Haaland,,#b53032,,,,,,530635.0,assist_by,Patrick Berg,,,
63,Substitution,0.0,3,1,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mory Diaw,466436,/players/466436/mory-diaw
63,Substitution,0.0,3,1,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathé Ciss,872396,/players/872396/pathe-ciss
71,Substitution,0.0,3,1,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andreas Schjelderup,1228558,/players/1228558/andreas-schjelderup
72,Substitution,0.0,3,1,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pape Sarr,1107280,/players/1107280/pape-sarr
84,Substitution,0.0,3,1,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leo Østigard,740944,/players/740944/leo-ostigard
84,Substitution,0.0,3,1,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oscar Bobb,1113790,/players/1113790/oscar-bobb
90,AddedTime,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 9 minutes added,added_injury_time,9.0,,,,,,,,
90 + 3,Goal,3.0,3,1,/players/771294/ismaila-sarr,False,,14212903.0,,,False,Ismaïla Sarr,,771294.0,"[3, 2]",,assist by Nicolas Jackson,/players/1197347/nicolas-jackson,2945260239.0,Goal,6395.0,771294.0,Ismaïla Sarr,95.4473684198,35.83,90.0,3.0,False,True,,,32.39875,1.3805263090000002,0.25156304240226746,0.4699644446372986,RightFoot,RegularPlay,SecondHalf,False,1.4236111111111112,0.3652186002645503,1.0,False,True,73409.0,Ismaïla,Sarr,Ismaïla Sarr,,#0c954e,,,,,,1197347.0,assist_by,Nicolas Jackson,,,
90,Half,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,fulltime_short,,,,,,
