timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,card,cardDescription,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
6,Goal,,14206979.0,0,0,/players/806551/michal-sadilek,True,,,False,Michal Sadílek,806551.0,"[1, 0]",,assist by Alexandr Sojka,/players/1478281/alexandr-sojka,1478281.0,assist_by,Alexandr Sojka,2944915459.0,Goal,8496.0,806551.0,Michal Sadílek,94.09649122639999,40.385476190999995,6.0,,False,True,,,33.161249999999995,0.6934736808,0.1839035600423813,0.4657458961009979,LeftFoot,ThrowInSetPiece,FirstHalf,False,1.2218915343915355,0.18345864571428572,1.0,False,True,253991.0,Michal,Sadílek,Michal Sadílek,#D9273C,,,,,,,,,,,
33,Card,,14207001.0,1,0,/players/848361/teboho-mokoena,False,,,,Teboho Mokoena,848361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
40,Card,,14207005.0,1,0,/players/1124424/thalente-mbatha,False,,,,Thalente Mbatha,1124424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
45,AddedTime,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 4 minutes added,added_injury_time,4.0,,,,,,
45,Half,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,
46,Substitution,0.0,,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Relebohile Mofokeng,1471333,/players/1471333/relebohile-mofokeng
55,Substitution,0.0,,1,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Jaroslav Zeleny,249063,/players/249063/jaroslav-zeleny
55,Substitution,0.0,,1,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Pavel Sulc,1037539,/players/1037539/pavel-sulc
66,Substitution,0.0,,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Evidence Makgopa,1137059,/players/1137059/evidence-makgopa
67,Substitution,0.0,,1,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tomás Soucek,524437,/players/524437/tomas-soucek
67,Substitution,0.0,,1,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Lukás Provod,791682,/players/791682/lukas-provod
75,Card,,14207047.0,1,0,/players/798029/ladislav-krejci,True,,,,Ladislav Krejcí,798029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
78,Substitution,0.0,,1,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,David Zima,1085401,/players/1085401/david-zima
83,Goal,,14207070.0,1,0,/players/848361/teboho-mokoena,False,,Penalty,False,Teboho Mokoena,848361.0,"[1, 1]",,,,,,,2944918583.0,Goal,6316.0,848361.0,Teboho Mokoena,94.0,34.0,83.0,,False,True,,,36.66875,0.4879999976,0.7884,0.7499382495880127,RightFoot,Penalty,SecondHalf,False,0.29398148148148073,0.12910052846560846,1.0,False,True,1077903.0,Teboho,Mokoena,Teboho Mokoena,#d89f28,,,,,,,,,,,
84,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Kamogelo Sebelebele,1451566,/players/1451566/kamogelo-sebelebele
90,AddedTime,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 7 minutes added,added_injury_time,7.0,,,,,,
90,Half,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,fulltime_short,,,,
