timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,card,cardDescription,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
9,Goal,,14198900.0,0,0,/players/720560/julian-quinones,True,,,False,Julián Quiñones,720560.0,"[1, 0]",,assist by Érik Lira,/players/971628/erik-lira,971628.0,assist_by,Érik Lira,2944340001.0,Goal,6710.0,720560.0,Julián Quiñones,89.9,38.284285716,9.0,,False,True,,,33.77125,0.20547368320000003,0.19544583559036255,0.09809800982475281,RightFoot,RegularPlay,FirstHalf,False,1.0605158730158726,0.05435811724867726,1.0,False,True,253991.0,Julián,Quiñones,Julián Quiñones,#00634b,,,,,,,,,,,
17,Card,,14198904.0,1,0,/players/848361/teboho-mokoena,False,,,,Teboho Mokoena,848361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
23,Card,,14198907.0,1,0,/players/1170238/brian-gutierrez,True,,,,Brian Gutiérrez,1170238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
45,AddedTime,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 4 minutes added,added_injury_time,4.0,,,,,,
45,Half,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,
49,Card,,14198924.0,1,0,/players/1107735/sphephelo-sithole,False,,,,Sphephelo Sithole,1107735.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,
56,Substitution,0.0,,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Thalente Mbatha,1124424,/players/1124424/thalente-mbatha
61,Substitution,0.0,,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Themba Zwane,303609,/players/303609/themba-zwane
66,Substitution,0.0,,1,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Luis Chávez,527616,/players/527616/luis-chavez
66,Substitution,0.0,,1,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Gilberto Mora,1670377,/players/1670377/gilberto-mora
67,Goal,,14198935.0,1,0,/players/292313/raul-jimenez,True,,Header,False,Raul Jiménez,292313.0,"[2, 0]",,assist by Roberto Alvarado,/players/720737/roberto-alvarado,720737.0,assist_by,Roberto Alvarado,2944343697.0,Goal,6710.0,292313.0,Raul Jiménez,100.6379310348,36.2875,67.0,,False,True,,,36.2875,0.6099999970000001,0.5119985342025757,0.9775017499923706,Header,RegularPlay,SecondHalf,False,0.39484126984126955,0.16137566058201058,1.0,False,True,253991.0,Raul,Jiménez,Raul Jiménez,#00634b,,,,,,,,,,,
74,Card,,14198943.0,2,0,/players/716819/nkosinathi-sibisi,False,,,,Nkosinathi Sibisi,716819.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
