timeStr,type,overloadTime,homeScore,awayScore,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,profileUrl,isHome,injuredPlayerOut,eventId,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,card,cardDescription,substitution_name,substitution_id,substitution_profileUrl
45,AddedTime,,0,0,+ 4 minutes added,added_injury_time,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Half,,0,0,,,,HT,halftime_short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Substitution,0.0,0,0,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heung-Min Son,212867,/players/212867/heung-min-son
46,Substitution,0.0,0,0,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jin-Gyu Kim,622980,/players/622980/jin-gyu-kim
46,Substitution,0.0,0,0,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jens Castrop,1185902,/players/1185902/jens-castrop
62,Substitution,0.0,0,0,,,,,,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tshepang Moremi,1289611,/players/1289611/tshepang-moremi
63,Goal,,0,0,,,,,,/players/1394951/thapelo-maseko,True,,14213881.0,,,False,Thapelo Maseko,1394951.0,"[1, 0]",,assist by Tshepang Moremi,/players/1289611/tshepang-moremi,1289611.0,assist_by,Tshepang Moremi,2945403883.0,Goal,6316.0,1394951.0,Thapelo Maseko,93.2,26.169687500000002,63.0,,False,True,,,31.559999999999995,0.3274736826,0.08602359890937805,0.24795681238174438,LeftFoot,FastBreak,SecondHalf,False,1.6455026455026467,0.08663324936507935,1.0,False,True,167247.0,Thapelo,Maseko,Thapelo Maseko,#d89f28,,,,,
65,Substitution,0.0,1,0,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jin-Seob Park,925647,/players/925647/jin-seob-park
72,Card,,1,0,,,,,,/players/616179/aubrey-maphosa-modiba,True,,14213893.0,,,,Aubrey Maphosa Modiba,616179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,
74,Substitution,0.0,1,0,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gue-Sung Cho,1026781,/players/1026781/gue-sung-cho
75,Substitution,0.0,1,0,,,,,,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iqraam Rayners,1076668,/players/1076668/iqraam-rayners
78,Card,,1,0,,,,,,/players/1026781/gue-sung-cho,False,,14213902.0,,,,Gue-Sung Cho,1026781.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,
80,Substitution,0.0,1,0,,,,,,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jayden Adams,1178629,/players/1178629/jayden-adams
90,AddedTime,,1,0,+ 6 minutes added,added_injury_time,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Half,,1,0,,,,FT,fulltime_short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
