timeStr,type,overloadTime,homeScore,awayScore,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,eventId,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,injuredPlayerOut,card,cardDescription,substitution_name,substitution_id,substitution_profileUrl
45,AddedTime,,0,0,+ 3 minutes added,added_injury_time,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Half,,0,0,,,,HT,halftime_short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Goal,,0,0,,,,,,14199003.0,/players/798029/ladislav-krejci,False,,Header,False,Ladislav Krejcí,798029.0,"[0, 1]",,assist by Vladimír Coufal,/players/307317/vladimir-coufal,307317.0,assist_by,Vladimír Coufal,2944348523.0,Goal,8496.0,798029.0,Ladislav Krejcí,100.25862069,31.1025,59.0,,False,True,,,32.0175,1.2585263096000001,0.21451593935489655,0.5836638808250427,Header,ThrowInSetPiece,SecondHalf,False,1.5244708994709,0.3329434681481482,1.0,False,True,167247.0,Ladislav,Krejcí,Ladislav Krejcí,#D9273C,,,,,,
62,Substitution,0.0,0,1,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Hee-Chan Hwang,620026,/players/620026/hee-chan-hwang
63,Substitution,0.0,0,1,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Adam Hlozek,969870,/players/969870/adam-hlozek
63,Substitution,0.0,0,1,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Tomás Chory,523217,/players/523217/tomas-chory
63,Substitution,0.0,0,1,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Michal Sadílek,806551,/players/806551/michal-sadilek
67,Goal,,0,1,,,,,,14199016.0,/players/623698/beom-hwang,True,,,False,In-Beom Hwang,623698.0,"[1, 1]",,assist by Kang-In Lee,/players/940976/kang-lee,940976.0,assist_by,Kang-In Lee,2944348835.0,Goal,7804.0,623698.0,In-Beom Hwang,94.5789473669,42.4084375,67.0,,False,True,,,30.797499999999996,0.3659999982,0.31128841638565063,0.8785961270332336,RightFoot,RegularPlay,SecondHalf,False,1.8472222222222223,0.09682539634920634,1.0,False,True,1077903.0,In-Beom,Hwang,In-Beom Hwang,#F7383F,,,,,,
69,Substitution,0.0,1,1,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Ji-Sung Eom,1107283,/players/1107283/ji-sung-eom
69,Substitution,0.0,1,1,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Hyun-Gyu Oh,1044299,/players/1044299/hyun-gyu-oh
