timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,card,cardDescription,substitution_name,substitution_id,substitution_profileUrl
36,Goal,,14219981.0,0,0,/players/678234/mikel-oyarzabal,True,,,False,Mikel Oyarzabal,678234.0,"[1, 0]",,assist by Marc Cucurella,/players/873289/marc-cucurella,873289.0,assist_by,Marc Cucurella,2945948701.0,Goal,6720.0,678234.0,Mikel Oyarzabal,94.675438595,37.2025,36.0,,False,True,,,33.466249999999995,0.0834736838,0.17825692892074585,0.34467625617980957,LeftFoot,RegularPlay,FirstHalf,False,1.141203703703705,0.02208298513227513,1.0,False,True,450739.0,Mikel,Oyarzabal,Mikel Oyarzabal,#c62035,,,,,,,,,,,
45,AddedTime,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 4 minutes added,added_injury_time,4.0,,,,,,,,
45,Half,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,,,
46,Substitution,0.0,,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Florian Grillitsch,617044,/players/617044/florian-grillitsch
46,Substitution,0.0,,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Carney Chukwuemeka,1089685,/players/1089685/carney-chukwuemeka
60,Substitution,0.0,,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Sasa Kalajdzic,858198,/players/858198/sasa-kalajdzic
60,Substitution,0.0,,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Marko Arnautovic,110148,/players/110148/marko-arnautovic
66,Goal,,14219993.0,1,0,/players/941573/pedro-porro,True,,Header,False,Pedro Porro,941573.0,"[2, 0]",,assist by Álex Baena,/players/942372/alex-baena,942372.0,assist_by,Álex Baena,2945951673.0,Goal,6720.0,941573.0,Pedro Porro,98.0526315785,35.0675,66.0,,False,True,,,34.22875,0.3274736826,0.5266504287719727,0.3941842317581177,Header,RegularPlay,SecondHalf,False,0.9394841269841275,0.08663324936507935,1.0,False,True,450739.0,Pedro,Porro,Pedro Porro,#c62035,,,,,,,,,,,
71,Substitution,0.0,,2,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Mikel Merino,574645,/players/574645/mikel-merino
71,Substitution,0.0,,2,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Ferran Torres,881771,/players/881771/ferran-torres
83,Card,,14220001.0,2,0,/players/557325/stefan-posch,False,,,,Stefan Posch,557325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,
85,Substitution,0.0,,2,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,Gavi,1279040,/players/1279040/gavi
