timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,assistPlayerId,assistKey,assistInput,card,cardDescription,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
30,Goal,,14226976.0,0,0,/players/605654/fabian-ruiz,True,,,False,Fabián Ruiz,605654.0,"[1, 0]",,,,2946698805.0,Goal,6720.0,605654.0,Fabián Ruiz,98.3421052628,36.135000000000005,30.0,,False,True,,,34.7625,1.4639999928,0.44747859239578247,0.8025277256965637,RightFoot,RegularPlay,FirstHalf,False,0.7982804232804226,0.38730158539682535,1.0,False,True,170323.0,Fabián,Ruiz,Fabián Ruiz,#c62035,,,,,,,,,,,,,,
41,Goal,,14226995.0,1,0,/players/1095432/charles-de-ketelaere,False,,Header,False,Charles De Ketelaere,1095432.0,"[1, 1]",,assist by Timothy Castagne,/players/465750/timothy-castagne,2946699941.0,Goal,8263.0,1095432.0,Charles De Ketelaere,98.0526315785,31.865,41.0,,False,True,,,34.533750000000005,0.6485263126,0.13474687933921814,0.24477866291999817,Header,RegularPlay,FirstHalf,False,0.8587962962962951,0.17156780756613757,1.0,False,True,660625.0,Charles,De Ketelaere,Charles De Ketelaere,#9f2533,465750.0,assist_by,Timothy Castagne,,,,,,,,,,,
43,Card,,14227002.0,1,1,/players/1532137/pau-cubarsi,True,,,,Pau Cubarsí,1532137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
45,AddedTime,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 5 minutes added,added_injury_time,5.0,,,,,,
45,Half,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,
55,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Ferran Torres,881771,/players/881771/ferran-torres
55,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Pedri,1083323,/players/1083323/pedri
60,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Axel Witsel,39591,/players/39591/axel-witsel
60,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Joaquin Seys,1489449,/players/1489449/joaquin-seys
60,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Romelu Lukaku,181276,/players/181276/romelu-lukaku
