timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,fullName,playerId,card,cardDescription,ownGoal,goalDescription,isPenaltyShootoutEvent,newScore,penShootoutScore,assistStr,assistProfileUrl,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,injuredPlayerOut,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,assistPlayerId,assistKey,assistInput,substitution_name,substitution_id,substitution_profileUrl
8,Card,,14231924.0,0,0,/players/352879/adrien-rabiot,True,Adrien Rabiot,352879.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Goal,,14231961.0,0,0,/players/678234/mikel-oyarzabal,False,Mikel Oyarzabal,678234.0,,,,Penalty,False,"[0, 1]",,,,2947229283.0,Goal,6720.0,678234.0,Mikel Oyarzabal,94.0,34.0,22.0,,False,True,,,30.797499999999996,1.3034736778000002,0.7884,0.9631028771400452,LeftFoot,Penalty,FirstHalf,False,1.8472222222222223,0.34483430629629636,1.0,False,True,466439.0,Mikel,Oyarzabal,Mikel Oyarzabal,#c62035,,,,,,,,,,,,
30,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,Maxence Lacroix,950485,/players/950485/maxence-lacroix
31,Card,,14231973.0,0,1,/players/873289/marc-cucurella,False,Marc Cucurella,873289.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,AddedTime,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 6 minutes added,added_injury_time,6.0,,,,,,,,
45,Half,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,,,
46,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,Manu Koné,1016132,/players/1016132/manu-kone
57,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,Désiré Doué,1339208,/players/1339208/desire-doue
58,Goal,,14232037.0,0,1,/players/941573/pedro-porro,False,Pedro Porro,941573.0,,,,,False,"[0, 2]",,assist by Dani Olmo,/players/614834/dani-olmo,2947239043.0,Goal,6720.0,941573.0,Pedro Porro,94.2894736826,28.959285713000003,58.0,,False,True,,,32.0175,0.5265263132,0.5218392014503479,0.6088092923164368,RightFoot,RegularPlay,SecondHalf,False,1.5244708994709,0.13929267544973545,1.0,False,True,466439.0,Pedro,Porro,Pedro Porro,#c62035,,,,,,,614834.0,assist_by,Dani Olmo,,,
72,Substitution,0.0,,0,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,Rayan Cherki,1104053,/players/1104053/rayan-cherki
72,Substitution,0.0,,0,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,Theo Hernández,724371,/players/724371/theo-hernandez
74,Substitution,0.0,,0,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,Ferran Torres,881771,/players/881771/ferran-torres
77,Substitution,0.0,,0,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,Mikel Merino,574645,/players/574645/mikel-merino
77,Substitution,0.0,,0,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,Pedri,1083323,/players/1083323/pedri
83,Substitution,0.0,,0,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,Nico Williams,1202110,/players/1202110/nico-williams
83,Substitution,0.0,,0,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,Marcos Llorente,602563,/players/602563/marcos-llorente
86,Card,,14232116.0,0,2,/players/701154/kylian-mbappe,True,Kylian Mbappé,701154.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,AddedTime,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 7 minutes added,added_injury_time,7.0,,,,,,,,
90,Half,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,fulltime_short,,,,,,
