timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,shortName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.shortName,shotmapEvent.teamColor,card,cardDescription,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,VAR.pendingDecision,VAR.decision.key,VAR.decision.value,substitution_name,substitution_id,substitution_profileUrl
10,Goal,,14211635.0,0,0,/players/1467236/lamine-yamal,True,,,False,Lamine Yamal,Lamine Yamal,1467236.0,"[1, 0]",,assist by Mikel Oyarzabal,/players/678234/mikel-oyarzabal,678234.0,assist_by,Mikel Oyarzabal,2945146365.0,Goal,6720.0,1467236.0,Lamine Yamal,103.19827586219999,30.05190476,10.0,,False,True,,,31.865,0.2439999988,0.27584850788116455,0.9132471680641174,RightFoot,RegularPlay,FirstHalf,False,1.5648148148148162,0.06455026423280423,1.0,False,True,535669.0,Lamine,Yamal,Lamine Yamal,Lamine Yamal,#c62035,,,,,,,,,,,,,,
21,Goal,,14211648.0,1,0,/players/678234/mikel-oyarzabal,True,,,False,Mikel Oyarzabal,,678234.0,"[2, 0]",,assist by Aymeric Laporte,/players/411617/aymeric-laporte,411617.0,assist_by,Aymeric Laporte,2945147925.0,Goal,6720.0,678234.0,Mikel Oyarzabal,100.06896551759999,38.620476192,21.0,,False,True,,,32.39875,0.6485263126,0.18811547756195068,0.2976722717285156,LeftFoot,FromCorner,FirstHalf,False,1.4236111111111112,0.17156780756613757,1.0,False,True,535669.0,Mikel,Oyarzabal,Mikel Oyarzabal,,#c62035,,,,,,,,,,,,,,
24,Goal,,14211657.0,2,0,/players/678234/mikel-oyarzabal,True,,,False,Mikel Oyarzabal,,678234.0,"[3, 0]",,assist by Dani Olmo,/players/614834/dani-olmo,614834.0,assist_by,Dani Olmo,2945148281.0,Goal,6720.0,678234.0,Mikel Oyarzabal,102.72413793119999,30.328,24.0,,False,True,,,31.026249999999997,1.6245263078,0.4926561415195465,0.9644882082939148,LeftFoot,RegularPlay,FirstHalf,False,1.7867063492063497,0.42976886449735446,1.0,False,True,535669.0,Mikel,Oyarzabal,Mikel Oyarzabal,,#c62035,,,,,,,,,,,,,,
30,Card,,14211670.0,3,0,/players/307753/salem-al-dawsari,False,,,,Salem Al-Dawsari,,307753.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,,,,
45,AddedTime,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 5 minutes added,added_injury_time,5.0,,,,,,,,,
45,Half,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,,,,
46,Substitution,0.0,,3,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Yéremi Pino,1047676,/players/1047676/yeremi-pino
46,Substitution,0.0,,3,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Ferran Torres,881771,/players/881771/ferran-torres
46,Substitution,0.0,,3,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Abdullah Al-Hamdan,909198,/players/909198/abdullah-al-hamdan
46,Substitution,0.0,,3,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Mohamed Kanno,866373,/players/866373/mohamed-kanno
