timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,assistPlayerId,assistKey,assistInput,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,card,cardDescription,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
7,Goal,,14205286.0,0,0,/players/1168311/yasin-ayari,True,,,False,Yasin Ayari,1168311.0,"[1, 0]",,,,2944722045.0,Goal,8520.0,1168311.0,Yasin Ayari,80.345145632,38.704523811,7.0,,False,True,,,32.3225,1.5859999922,0.0537257045507431,0.19662664830684662,RightFoot,RegularPlay,FirstHalf,False,1.4437830687830693,0.4195767175132275,1.0,False,False,1718458.0,Yasin,Ayari,Yasin Ayari,#dd9a00,,,,,,,,,,,,,,
30,Goal,,14205287.0,1,0,/players/690107/alexander-isak,True,,,False,Alexander Isak,690107.0,"[2, 0]",,assist by Viktor Gyökeres,/players/664500/viktor-gyokeres,2944722755.0,Goal,8520.0,690107.0,Alexander Isak,87.85588235280001,47.6440764301,30.0,,False,True,,,31.178749999999994,0.4879999976,0.04228832945227623,0.22996976971626282,RightFoot,FastBreak,FirstHalf,False,1.7463624338624355,0.12910052846560846,1.0,False,False,1718458.0,Alexander,Isak,Alexander Isak,#dd9a00,664500.0,assist_by,Viktor Gyökeres,,,,,,,,,,,
43,Goal,,14205290.0,2,0,/players/1160097/omar-rekik,False,,Header,False,Omar Rekik,1160097.0,"[2, 1]",,assist by Hannibal Mejbri,/players/1113785/hannibal-mejbri,2944723193.0,Goal,6719.0,1160097.0,Omar Rekik,97.1842105256,26.774047619,43.0,,False,True,,,36.66875,0.2439999988,0.03183949738740921,0.3290552794933319,Header,ThrowInSetPiece,FirstHalf,False,0.29398148148148073,0.06455026423280423,1.0,False,True,73462.0,Omar,Rekik,Omar Rekik,#D7393D,1113785.0,assist_by,Hannibal Mejbri,,,,,,,,,,,
45,AddedTime,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 4 minutes added,added_injury_time,4.0,,,,,,,,
45,Half,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,,,
54,Card,,14205293.0,2,1,/players/304348/rani-khedira,False,,,,Rani Khedira,304348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,
59,Goal,,14205294.0,2,1,/players/664500/viktor-gyokeres,True,,,False,Viktor Gyökeres,664500.0,"[3, 1]",,assist by Alexander Isak,/players/690107/alexander-isak,2944723935.0,Goal,8520.0,664500.0,Viktor Gyökeres,93.9,25.880625000000002,59.0,,False,True,,,36.135000000000005,0.5265263132,0.358483225107193,0.5819235444068909,RightFoot,RegularPlay,SecondHalf,False,0.4351851851851839,0.13929267544973545,1.0,False,True,1718458.0,Viktor,Gyökeres,Viktor Gyökeres,#dd9a00,690107.0,assist_by,Alexander Isak,,,,,,,,,,,
64,Substitution,0.0,,3,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Elliot Stroud,1272349,/players/1272349/elliot-stroud
64,Substitution,0.0,,3,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Lucas Bergvall,1386775,/players/1386775/lucas-bergvall
72,Substitution,0.0,,3,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Elias Achouri,1015128,/players/1015128/elias-achouri
72,Substitution,0.0,,3,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Sebastian Tounekti,921919,/players/921919/sebastian-tounekti
72,Substitution,0.0,,3,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Hadj Mahmoud,1131896,/players/1131896/hadj-mahmoud
84,Substitution,0.0,,3,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mattias Svanberg,647900,/players/647900/mattias-svanberg
84,Substitution,0.0,,3,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Ismaël Gharbi,1244924,/players/1244924/ismael-gharbi
84,Substitution,0.0,,3,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Firas Chaouat,845336,/players/845336/firas-chaouat
