timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,card,cardDescription,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
3,Goal,,14214481.0,0,0,/players/688271/auston-trusty,False,,,False,Auston Trusty,688271.0,"[0, 1]",,assist by Sebastian Berhalter,/players/1136096/sebastian-berhalter,1136096.0,assist_by,Sebastian Berhalter,2945452683.0,Goal,6713.0,688271.0,Auston Trusty,101.3017241382,23.9992356735,3.0,,False,True,,,31.1025,0.4879999976,0.08164463937282562,0.3488510549068451,LeftFoot,FromCorner,FirstHalf,False,1.7665343915343916,0.12910052846560846,1.0,False,True,603669.0,Auston,Trusty,Auston Trusty,#293664,,,,,,,,,,,
10,Goal,,14214483.0,0,1,/players/1253890/arda-guler,True,,,False,Arda Güler,1253890.0,"[1, 1]",,assist by Baris Alper Yilmaz,/players/890232/baris-alper-yilmaz,890232.0,assist_by,Baris Alper Yilmaz,2945453275.0,Goal,6595.0,1253890.0,Arda Güler,97.7631578942,33.084999999999994,10.0,,False,True,,,32.9325,1.0145263108,0.6144202351570129,0.33557987213134766,LeftFoot,RegularPlay,FirstHalf,False,1.282407407407408,0.2683932039153439,1.0,False,True,729988.0,Arda,Güler,Arda Güler,#d71c00,,,,,,,,,,,
19,Card,,14214486.0,1,1,/players/1136096/sebastian-berhalter,False,,,,Sebastian Berhalter,1136096.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
31,Goal,,14214487.0,1,1,/players/890232/baris-alper-yilmaz,True,,,False,Baris Alper Yilmaz,890232.0,"[2, 1]",,assist by Orkun Kökcü,/players/935409/orkun-kokcu,935409.0,assist_by,Orkun Kökcü,2945454529.0,Goal,6595.0,890232.0,Baris Alper Yilmaz,101.681034483,32.551249999999996,31.0,,False,True,,,30.645,1.0979999946,0.8910734057426453,0.993240475654602,RightFoot,RegularPlay,FirstHalf,False,1.8875661375661386,0.29047618904761907,1.0,False,True,729988.0,Baris Alper,Yilmaz,Baris Alper Yilmaz,#d71c00,,,,,,,,,,,
45,AddedTime,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 6 minutes added,added_injury_time,6.0,,,,,,
45,Half,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,
49,Goal,,14214495.0,2,1,/players/1136096/sebastian-berhalter,False,,,False,Sebastian Berhalter,1136096.0,"[2, 2]",,,,,,,2945456425.0,Goal,6713.0,1136096.0,Sebastian Berhalter,87.6411764704,43.860636937900004,49.0,,False,True,,,36.97375,0.5265263132,0.05426442623138428,0.2899959683418274,RightFoot,ThrowInSetPiece,SecondHalf,False,0.21329365079365015,0.13929267544973545,1.0,False,False,603669.0,Sebastian,Berhalter,Sebastian Berhalter,#293664,,,,,,,,,,,
58,Substitution,0.0,,2,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Christian Pulisic,688295,/players/688295/christian-pulisic
76,Substitution,0.0,,2,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Alex Zendejas,621882,/players/621882/alex-zendejas
76,Substitution,0.0,,2,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Sergiño Dest,892816,/players/892816/sergino-dest
76,Substitution,0.0,,2,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Alex Freeman,1338696,/players/1338696/alex-freeman
84,Substitution,0.0,,2,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Caglar Söyüncü,602261,/players/602261/caglar-soyuncu
84,Substitution,0.0,,2,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Can Uzun,1367924,/players/1367924/can-uzun
86,Substitution,0.0,,2,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Malik Tillman,1126058,/players/1126058/malik-tillman
88,Substitution,0.0,,2,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Kaan Ayhan,441164,/players/441164/kaan-ayhan
90,AddedTime,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 7 minutes added,added_injury_time,7.0,,,,,,
90 + 1,Substitution,1.0,,2,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mert Müldür,904098,/players/904098/mert-muldur
90 + 1,Substitution,1.0,,2,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Irfan Kahveci,316544,/players/316544/irfan-kahveci
90 + 8,Goal,8.0,14214533.0,2,2,/players/441164/kaan-ayhan,True,,,False,Kaan Ayhan,441164.0,"[3, 2]",,,,,,,2945459879.0,Goal,6595.0,441164.0,Kaan Ayhan,102.72413793119999,31.559999999999995,90.0,8.0,False,True,,,32.551249999999996,0.3274736826,0.5968227982521057,0.9913396239280701,RightFoot,ThrowInSetPiece,SecondHalf,False,1.3832671957671967,0.08663324936507935,1.0,False,True,729988.0,Kaan,Ayhan,Kaan Ayhan,#d71c00,,,,,,,,,,,
90,Half,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,fulltime_short,,,,
