timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,fullName,playerId,card,cardDescription,ownGoal,goalDescription,isPenaltyShootoutEvent,newScore,penShootoutScore,assistStr,assistProfileUrl,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,minutesAddedStr,minutesAddedKey,minutesAddedInput,assistPlayerId,assistKey,assistInput,halfStrShort,halfStrKey,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
5,Card,,14212287.0,0,0,/players/1441786/sidny-lopes-cabral,False,Sidny Lopes Cabral,1441786.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Card,,14212300.0,0,0,/players/620618/rodrigo-bentancur,True,Rodrigo Bentancur,620618.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Goal,,14212301.0,0,0,/players/890503/kevin-pina,False,Kevin Pina,890503.0,,,,Direct freekick,False,"[0, 1]",,,,2945193997.0,Goal,5888.0,890503.0,Kevin Pina,73.70048543920001,31.865,21.0,,False,True,,,31.1025,0.28252631440000003,0.03889238089323044,0.22232992947101593,RightFoot,FreeKick,FirstHalf,False,1.7665343915343916,0.07474241121693122,1.0,False,False,56829.0,Kevin,Pina,Kevin Pina,#1B2C5F,,,,,,,,,,,,
44,Goal,,14212320.0,0,1,/players/1031656/maxi-araujo,True,Maxi Araújo,1031656.0,,,,Header,False,"[1, 1]",,,,2945196383.0,Goal,5796.0,1031656.0,Maxi Araújo,102.4396551726,34.07625,44.0,,False,True,,,34.22875,0.44947368200000004,0.8896547555923462,0.9920645356178284,Header,RegularPlay,FirstHalf,False,0.9394841269841275,0.11890838148148149,1.0,False,True,422149.0,Maxi,Araújo,Maxi Araújo,#6eadd6,,,,,,,,,,,,
45,AddedTime,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 5 minutes added,added_injury_time,5.0,,,,,,,,,
45 + 6,Goal,6.0,14212324.0,1,1,/players/840212/agustin-canobbio,True,Agustín Canobbio,840212.0,,,,,False,"[2, 1]",,assist by Maxi Araújo,/players/1031656/maxi-araujo,2945197023.0,Goal,5796.0,840212.0,Agustín Canobbio,98.3421052628,33.31375,45.0,6.0,False,True,,,32.70374999999999,0.28252631440000003,0.5579933524131775,0.6585056781768799,RightFoot,RegularPlay,FirstHalf,False,1.3429232804232825,0.07474241121693122,1.0,False,True,422149.0,Agustín,Canobbio,Agustín Canobbio,#6eadd6,,,,1031656.0,assist_by,Maxi Araújo,,,,,,
45,Half,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,
46,Substitution,0.0,,2,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Deroy Duarte,798069,/players/798069/deroy-duarte
58,Substitution,0.0,,2,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Nuno da Costa,671326,/players/671326/nuno-da-costa
58,Substitution,0.0,,2,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Hélio Varela,1524518,/players/1524518/helio-varela
58,Card,,14212370.0,2,1,/players/729093/mathias-olivera,True,Mathías Olivera,729093.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Goal,,14212378.0,2,1,/players/1524518/helio-varela,False,Hélio Varela,1524518.0,,,,,False,"[2, 2]",,,,2945201807.0,Goal,5888.0,1524518.0,Hélio Varela,80.4577669912,20.84636943,61.0,,False,True,,,33.77125,0.1219999994,0.4029889702796936,0.977809727191925,RightFoot,RegularPlay,SecondHalf,False,1.0605158730158726,0.032275132116402115,1.0,False,False,56829.0,Hélio,Varela,Hélio Varela,#1B2C5F,,,,,,,,,,,,
70,Substitution,0.0,,2,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Nicolás de la Cruz,751198,/players/751198/nicolas-de-la-cruz
70,Substitution,0.0,,2,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Darwin Núñez,950561,/players/950561/darwin-nunez
70,Substitution,0.0,,2,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Laros Duarte,665167,/players/665167/laros-duarte
80,Substitution,0.0,,2,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Yannick Semedo,1205410,/players/1205410/yannick-semedo
81,Substitution,0.0,,2,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Brian Rodríguez,941660,/players/941660/brian-rodriguez
90,AddedTime,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 8 minutes added,added_injury_time,8.0,,,,,,,,,
90 + 3,Card,3.0,14212401.0,2,2,/players/496648/diney-borges,False,Diney Borges,496648.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Half,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,fulltime_short,,,,
