timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,card,cardDescription,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
41,Goal,,14205493.0,0,0,/players/848600/abdulelah-al-amri,True,,,False,Abdulelah Al Amri,848600.0,"[1, 0]",,,,2944755635.0,Goal,7795.0,848600.0,Abdulelah Al Amri,101.9655172416,33.92375,41.0,,False,True,,,33.5425,0.5265263132,0.41855594515800476,0.2289997786283493,RightFoot,FromCorner,FirstHalf,False,1.121031746031747,0.13929267544973545,1.0,False,True,56829.0,Abdulelah,Al Amri,Abdulelah Al Amri,#16615B,,,,,,,,,,,
44,Card,,14205494.0,1,0,/players/848600/abdulelah-al-amri,True,,,,Abdulelah Al Amri,848600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
45,AddedTime,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 4 minutes added,added_injury_time,4.0,,,,,,
45,Half,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,
46,Substitution,0.0,,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Juan Sanabria,1053963,/players/1053963/juan-sanabria
46,Substitution,0.0,,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Agustín Canobbio,840212,/players/840212/agustin-canobbio
63,Substitution,0.0,,1,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Nasser Al-Dawsari,848612,/players/848612/nasser-al-dawsari
72,Substitution,0.0,,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Nicolás de la Cruz,751198,/players/751198/nicolas-de-la-cruz
80,Goal,,14205507.0,1,0,/players/1031656/maxi-araujo,False,,,False,Maxi Araújo,1031656.0,"[1, 1]",,,,2944757155.0,Goal,5796.0,1031656.0,Maxi Araújo,101.1120689658,42.639687499999994,80.0,,False,True,,,36.66875,1.0145263108,0.17505407333374023,0.28431129455566406,LeftFoot,RegularPlay,SecondHalf,False,0.29398148148148073,0.2683932039153439,1.0,False,True,535669.0,Maxi,Araújo,Maxi Araújo,#6eadd6,,,,,,,,,,,
81,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Brian Rodríguez,941660,/players/941660/brian-rodriguez
81,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Nawaf Al-Boushail,1401228,/players/1401228/nawaf-al-boushail
90,Substitution,0.0,,1,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Rodrigo Aguirre,401095,/players/401095/rodrigo-aguirre
90,AddedTime,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 7 minutes added,added_injury_time,7.0,,,,,,
90 + 2,Substitution,2.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Ali Lajami,640284,/players/640284/ali-lajami
90 + 2,Substitution,2.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Abdullah Al-Hamdan,909198,/players/909198/abdullah-al-hamdan
90 + 2,Substitution,2.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Alaa Hajji,697618,/players/697618/alaa-hajji
90,Half,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,fulltime_short,,,,
