timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,injuredPlayerOut,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,card,cardDescription,substitution_name,substitution_id,substitution_profileUrl
42,Goal,,14215203.0,0,0,/players/942372/alex-baena,False,,,False,Álex Baena,942372.0,"[0, 1]",,assist by Marcos Llorente,/players/602563/marcos-llorente,602563.0,assist_by,Marcos Llorente,2945512529.0,Goal,6720.0,942372.0,Álex Baena,91.4,30.72125,42.0,,False,True,,,36.821250000000006,0.28252631440000003,0.13585475087165833,0.2023998647928238,RightFoot,RegularPlay,FirstHalf,False,0.2536375661375645,0.07474241121693122,1.0,False,True,56829.0,Álex,Baena,Álex Baena,#c62035,,,,,,,,,,,
45,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,Nicolás de la Cruz,751198,/players/751198/nicolas-de-la-cruz
45,AddedTime,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 8 minutes added,added_injury_time,8.0,,,,,,,
45,Half,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,,
46,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,Sergio Rochet,553476,/players/553476/sergio-rochet
46,Card,,14215214.0,0,1,/players/942372/alex-baena,False,,,,Álex Baena,942372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,
54,Card,,14215218.0,0,1,/players/1053963/juan-sanabria,True,,,,Juan Sanabria,1053963.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,
56,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,Federico Viñas,1032811,/players/1032811/federico-vinas
58,Card,,14215221.0,0,1,/players/465614/guillermo-varela,True,,,,Guillermo Varela,465614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,
60,Substitution,0.0,,0,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,Fabián Ruiz,605654,/players/605654/fabian-ruiz
60,Substitution,0.0,,0,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,Dani Olmo,614834,/players/614834/dani-olmo
66,Substitution,0.0,,0,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,Yéremi Pino,1047676,/players/1047676/yeremi-pino
70,Substitution,0.0,,0,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,Brian Rodríguez,941660,/players/941660/brian-rodriguez
76,Substitution,0.0,,0,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,Nico Williams,1202110,/players/1202110/nico-williams
76,Substitution,0.0,,0,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,Ferran Torres,881771,/players/881771/ferran-torres
90,AddedTime,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 5 minutes added,added_injury_time,5.0,,,,,,,
90 + 3,Card,3.0,14215257.0,0,1,/players/751198/nicolas-de-la-cruz,True,,,,Nicolás de la Cruz,751198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,
90 + 4,Card,4.0,14215258.0,0,1,/players/840212/agustin-canobbio,True,,,,Agustín Canobbio,840212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red,,,,
90,Half,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,fulltime_short,,,,,
