timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,card,cardDescription,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
11,Goal,,14207729.0,0,0,/players/564842/cameron-burgess,True,True,Own goal,False,Cameron Burgess,564842.0,"[1, 0]",,,,2944976229.0,Goal,6716.0,564842.0,Cameron Burgess,3.5086206894000003,34.4575,11.0,,False,True,,,35.83,1.6694736760000002,,,LeftFoot,RegularPlay,FirstHalf,True,0.5158730158730164,0.44165970264550264,1.0,False,True,1335765.0,Cameron,Burgess,Cameron Burgess,#de9c00,,,,,,,,,,,
16,Card,,14207748.0,1,0,/players/1316930/jordan-bos,False,,,,Jordan Bos,1316930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
32,Card,,14207780.0,1,0,/players/1318686/alessandro-circati,False,,,,Alessandro Circati,1318686.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
43,Goal,,14207794.0,1,0,/players/1338696/alex-freeman,True,,Header,False,Alex Freeman,1338696.0,"[2, 0]",,,,2944981509.0,Goal,6713.0,1338696.0,Alex Freeman,101.8706896554,33.161249999999995,43.0,,False,True,,,31.026249999999997,0.6485263126,0.3369664251804352,0.9448951482772827,Header,SetPiece,FirstHalf,False,1.7867063492063497,0.17156780756613757,1.0,False,True,1335765.0,Alex,Freeman,Alex Freeman,#293664,,,,,,,,,,,
45,AddedTime,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 7 minutes added,added_injury_time,7.0,,,,,,
45,Half,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,
46,Substitution,0.0,,2,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Jason Geria,418799,/players/418799/jason-geria
46,Substitution,0.0,,2,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Connor Metcalfe,885870,/players/885870/connor-metcalfe
46,Substitution,0.0,,2,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Nestory Irankunda,1327214,/players/1327214/nestory-irankunda
56,Card,,14207929.0,2,0,/players/662428/antonee-robinson,True,,,,Antonee Robinson,662428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
61,Substitution,0.0,,2,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Cristian Volpato,1308909,/players/1308909/cristian-volpato
