timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,injuredPlayerOut,card,cardDescription,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,substitution_name,substitution_id,substitution_profileUrl
9,Goal,,14225104.0,0,0,/players/1095432/charles-de-ketelaere,False,,,False,Charles De Ketelaere,1095432.0,"[0, 1]",,assist by Nicolas Raskin,/players/863869/nicolas-raskin,863869.0,assist_by,Nicolas Raskin,2946503217.0,Goal,8263.0,1095432.0,Charles De Ketelaere,101.8706896554,34.07625,9.0,,False,True,,,33.31375,0.8154736802,0.7741570472717285,0.9886532425880432,RightFoot,RegularPlay,FirstHalf,False,1.1815476190476193,0.2157337778306878,1.0,False,True,1026065.0,Charles,De Ketelaere,Charles De Ketelaere,#9f2533,,,,,,,,,,,
21,Substitution,0.0,,0,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,Hans Vanaken,203666,/players/203666/hans-vanaken
31,Goal,,14225108.0,0,1,/players/1126058/malik-tillman,True,,Direct freekick,False,Malik Tillman,1126058.0,"[1, 1]",,,,,,,2946504437.0,Goal,6713.0,1126058.0,Malik Tillman,80.0072815544,35.448750000000004,31.0,,False,True,,,33.5425,1.3805263090000002,0.07065166532993317,0.11069018393754959,RightFoot,FreeKick,FirstHalf,False,1.121031746031747,0.3652186002645503,1.0,False,False,170323.0,Malik,Tillman,Malik Tillman,#293664,,,,,,,,,,,
33,Goal,,14225109.0,1,1,/players/1095432/charles-de-ketelaere,False,,Header,False,Charles De Ketelaere,1095432.0,"[1, 2]",,assist by Leandro Trossard,/players/318615/leandro-trossard,318615.0,assist_by,Leandro Trossard,2946504581.0,Goal,8263.0,1095432.0,Charles De Ketelaere,102.06034482780001,32.551249999999996,33.0,,False,True,,,31.178749999999994,1.7079999916000002,0.31664982438087463,0.9724416136741638,Header,RegularPlay,FirstHalf,False,1.7463624338624355,0.45185184962962965,1.0,False,True,1026065.0,Charles,De Ketelaere,Charles De Ketelaere,#9f2533,,,,,,,,,,,
35,Card,,14225111.0,1,2,/players/848266/weston-mckennie,True,,,,Weston McKennie,848266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,
45,AddedTime,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 6 minutes added,added_injury_time,6.0,,,,,
45,Half,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,
46,Substitution,0.0,,1,2,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,Giovanni Reyna,1071179,/players/1071179/giovanni-reyna
57,Goal,,14225121.0,1,2,/players/203666/hans-vanaken,False,,,False,Hans Vanaken,203666.0,"[1, 3]",,assist by Charles De Ketelaere,/players/1095432/charles-de-ketelaere,1095432.0,assist_by,Charles De Ketelaere,2946506757.0,Goal,8263.0,203666.0,Hans Vanaken,74.4888349536,39.040714287,57.0,,False,True,,,31.026249999999997,0.5265263132,0.08364535868167877,0.6122766137123108,RightFoot,RegularPlay,SecondHalf,False,1.7867063492063497,0.13929267544973545,1.0,False,False,1026065.0,Hans,Vanaken,Hans Vanaken,#9f2533,,,,,,,,,,,
59,Substitution,0.0,,1,3,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,Sebastian Berhalter,1136096,/players/1136096/sebastian-berhalter
67,Substitution,0.0,,1,3,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,Jérémy Doku,942368,/players/942368/jeremy-doku
67,Substitution,0.0,,1,3,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,Romelu Lukaku,181276,/players/181276/romelu-lukaku
69,Card,,14225135.0,1,3,/players/1126058/malik-tillman,True,,,,Malik Tillman,1126058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,
72,Substitution,0.0,,1,3,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,Ricardo Pepi,1036401,/players/1036401/ricardo-pepi
89,Substitution,0.0,,1,3,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,Alexis Saelemaekers,921341,/players/921341/alexis-saelemaekers
89,Substitution,0.0,,1,3,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,Axel Witsel,39591,/players/39591/axel-witsel
