timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,card,cardDescription,cardDescription.localizedKey,cardDescription.defaultText,substitution_name,substitution_id,substitution_profileUrl
45,Goal,,14219622.0,0,0,/players/982677/folarin-balogun,True,,,False,Folarin Balogun,982677.0,"[1, 0]",,,,2945921009.0,Goal,6713.0,982677.0,Folarin Balogun,92.1,30.568749999999998,45.0,0.0,False,True,,,33.00875,0.3274736826,0.20954550802707672,0.19638560712337494,LeftFoot,RegularPlay,FirstHalf,False,1.26223544973545,0.08663324936507935,1.0,False,True,466867.0,Folarin,Balogun,Folarin Balogun,#293664,,,,,,,,,,,,,
45,AddedTime,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 5 minutes added,added_injury_time,5.0,,,,,,,,,,
45,Half,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,,,,,
51,Substitution,0.0,,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,Esmir Bajraktarevic,1346860,/players/1346860/esmir-bajraktarevic
51,Substitution,0.0,,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,Benjamin Tahirovic,1415104,/players/1415104/benjamin-tahirovic
51,Substitution,0.0,,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,Ermin Mahmic,1528815,/players/1528815/ermin-mahmic
64,Card,,14219630.0,1,0,/players/982677/folarin-balogun,True,,,,Folarin Balogun,982677.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red,,,,,,
75,Substitution,0.0,,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,Haris Tabakovic,388903,/players/388903/haris-tabakovic
75,Substitution,0.0,,1,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,Amar Memic,1300385,/players/1300385/amar-memic
80,Card,,14219636.0,1,0,/players/27294/sergej-barbarez,False,,,,Sergej Barbarez,27294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,coach,Coach,,,
80,Card,,14219637.0,1,0,/players/653982/stjepan-radeljic,False,,,,Stjepan Radeljic,653982.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,
82,Goal,,14219638.0,1,0,/players/1126058/malik-tillman,True,,Direct freekick,False,Malik Tillman,1126058.0,"[2, 0]",,,,2945922885.0,Goal,6713.0,1126058.0,Malik Tillman,86.99705882319999,44.7714649638,82.0,,False,True,,,36.8975,1.3805263090000002,0.09161916375160217,0.09317105263471603,RightFoot,FreeKick,SecondHalf,False,0.23346560846560827,0.3652186002645503,1.0,False,False,466867.0,Malik,Tillman,Malik Tillman,#293664,,,,,,,,,,,,,
87,Substitution,0.0,,2,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,Sebastian Berhalter,1136096,/players/1136096/sebastian-berhalter
87,Substitution,0.0,,2,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,Ricardo Pepi,1036401,/players/1036401/ricardo-pepi
90,AddedTime,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 10 minutes added,added_injury_time,10.0,,,,,,,,,,
90 + 5,Substitution,5.0,,2,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,Giovanni Reyna,1071179,/players/1071179/giovanni-reyna
90,Half,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,fulltime_short,,,,,,,,
