timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,card,cardDescription,assistPlayerId,assistKey,assistInput,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,injuredPlayerOut,VAR.pendingDecision,VAR.decision.key,VAR.decision.value,substitution_name,substitution_id,substitution_profileUrl
7,Goal,,14199937.0,0,0,/players/1252913/damian-bobadilla,True,True,Own goal,False,Damián Bobadilla,1252913.0,"[1, 0]",,,,2944401781.0,Goal,6724.0,1252913.0,Damián Bobadilla,7.5263157901,30.797499999999996,7.0,,False,True,,,32.70374999999999,0.160526315,,,RightFoot,RegularPlay,FirstHalf,True,1.3429232804232825,0.042467279100529096,1.0,False,True,1683391.0,Damián,Bobadilla,Damián Bobadilla,#EE3F2D,,,,,,,,,,,,,,,,,
9,Card,,14199938.0,1,0,/players/1133495/juan-caceres,False,,,,Juan Cáceres,1133495.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,,,,,,,
31,Goal,,14199955.0,1,0,/players/982677/folarin-balogun,True,,,False,Folarin Balogun,982677.0,"[2, 0]",,assist by Christian Pulisic,/players/688295/christian-pulisic,2944403395.0,Goal,6713.0,982677.0,Folarin Balogun,93.0,39.629047619999994,31.0,,False,True,,,32.17,0.2439999988,0.15506739914417267,0.48219889402389526,RightFoot,RegularPlay,FirstHalf,False,1.4841269841269837,0.06455026423280423,1.0,False,True,1683391.0,Folarin,Balogun,Folarin Balogun,#293664,,,688295.0,assist_by,Christian Pulisic,,,,,,,,,,,,
45,AddedTime,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 5 minutes added,added_injury_time,5.0,,,,,,,,,
45 + 5,Goal,5.0,14199975.0,2,0,/players/982677/folarin-balogun,True,,,False,Folarin Balogun,982677.0,"[3, 0]",,assist by Malik Tillman,/players/1126058/malik-tillman,2944404829.0,Goal,6713.0,982677.0,Folarin Balogun,92.7,29.631666665,45.0,5.0,False,True,,,37.27875,2.1125263054,0.14328515529632568,0.8937734365463257,LeftFoot,RegularPlay,FirstHalf,False,0.13260582010581956,0.5588693929629629,1.0,False,True,1683391.0,Folarin,Balogun,Folarin Balogun,#293664,,,1126058.0,assist_by,Malik Tillman,,,,,,,,,,,,
45,Half,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT,halftime_short,,,,,,,
46,Substitution,0.0,,3,0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Mauricio,1059490,/players/1059490/mauricio
46,Substitution,0.0,,3,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Sebastian Berhalter,1136096,/players/1136096/sebastian-berhalter
50,VAR,,14199985.0,3,0,/players/198444/tim-ream,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,['var_yellow_card_removed'],['Yellow card cancelled'],,,
53,Card,,14199986.0,3,0,/players/442277/miguel-almiron,False,,,,Miguel Almirón,442277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,,,,,,,
